Grid-cell,Longitude,Latitude
319,23.75,31.25
320,24.25,31.25
321,24.75,31.25
322,25.25,31.25
323,25.75,31.25
324,26.25,31.25
325,26.75,31.25
326,27.25,31.25
327,30.25,31.25
328,30.75,31.25
329,31.25,31.25
330,31.75,31.25
331,34.25,31.25
332,34.75,31.25
333,35.25,31.25
334,35.75,31.25
335,36.25,31.25
336,36.75,31.25
337,38.75,31.25
338,39.25,31.25
339,39.75,31.25
340,40.25,31.25
341,40.75,31.25
342,41.25,31.25
343,41.75,31.25
344,42.25,31.25
345,42.75,31.25
346,43.25,31.25
347,43.75,31.25
348,44.25,31.25
349,44.75,31.25
350,0.25,31.75
351,0.75,31.75
352,1.25,31.75
353,1.75,31.75
354,2.25,31.75
355,2.75,31.75
356,3.25,31.75
357,3.75,31.75
358,4.25,31.75
359,7.75,31.75
360,8.25,31.75
361,8.75,31.75
362,9.25,31.75
363,9.75,31.75
364,10.25,31.75
365,10.75,31.75
366,11.25,31.75
367,11.75,31.75
368,12.25,31.75
369,12.75,31.75
370,13.25,31.75
371,13.75,31.75
372,14.25,31.75
373,14.75,31.75
374,15.25,31.75
375,20.75,31.75
376,21.25,31.75
377,21.75,31.75
378,22.25,31.75
379,22.75,31.75
380,23.25,31.75
381,23.75,31.75
382,24.25,31.75
383,24.75,31.75
384,35.25,31.75
385,35.75,31.75
386,36.25,31.75
387,36.75,31.75
388,37.25,31.75
389,37.75,31.75
390,38.25,31.75
391,38.75,31.75
392,39.25,31.75
393,39.75,31.75
394,40.25,31.75
395,40.75,31.75
396,41.25,31.75
397,41.75,31.75
398,42.25,31.75
399,42.75,31.75
400,43.25,31.75
401,43.75,31.75
402,44.25,31.75
403,44.75,31.75
404,0.25,32.25
405,0.75,32.25
406,1.25,32.25
407,1.75,32.25
408,2.25,32.25
409,2.75,32.25
410,3.25,32.25
411,3.75,32.25
412,4.25,32.25
413,4.75,32.25
414,5.25,32.25
415,5.75,32.25
416,6.25,32.25
417,6.75,32.25
418,7.25,32.25
419,7.75,32.25
420,8.25,32.25
421,8.75,32.25
422,9.25,32.25
423,9.75,32.25
424,10.25,32.25
425,10.75,32.25
426,11.25,32.25
427,11.75,32.25
428,12.25,32.25
429,12.75,32.25
430,13.25,32.25
431,13.75,32.25
432,14.25,32.25
433,14.75,32.25
434,15.25,32.25
435,20.75,32.25
436,21.25,32.25
437,21.75,32.25
438,22.25,32.25
439,22.75,32.25
440,23.25,32.25
