STARTcounty,area,pla,NrGentry,latitude,longitude,valordummy,mill,lLStax_pc,perc_catholics_1800,cutoff1,cutoff2
BEDFORDSHIRE,11.475268,ODELL,0,496054.94,258969.66,1,0,2.9582746,,4,4
BEDFORDSHIRE,12.882775,HARROLD,0,493345.31,257028.48,1,0,3.82231,.0010050251,4,4
BEDFORDSHIRE,6.0948955,CARLTON,1,496103.34,254976.38,1,0,3.0236013,.0023584906,4,4
BEDFORDSHIRE,2.18739175,CHELLINGTON,1,496177.44,256306.33,0,0,4.0163832,,4,4
BEDFORDSHIRE,8.0219305,FELMERSHAM,1,499316.94,257572.17,0,0,3.2580965,0,4,4
BEDFORDSHIRE,5.753017,PAVENHAM,0,499648.88,255489.44,0,0,3.7356267,0,4,4
BEDFORDSHIRE,7.31344,STEVINGTON,0,498333.81,252851.39,1,0,4.0861917,0,4,4
BEDFORDSHIRE,16.205208,TURVEY,0,495255.66,251857.53,0,0,4.2835865,.029352227,4,4
BEDFORDSHIRE,3.82764875,SHELTON,1,502767.28,269496.63,0,0,0,0,4,4
BEDFORDSHIRE,13.916167,STAGSDEN,0,497768.59,248919.22,1,0,3.3502119,0,4,4
BEDFORDSHIRE,7.4900295,BROMHAM,0,501014.09,251658.66,1,0,3.4616516,0,4,4
BEDFORDSHIRE,7.2366195,OAKLEY,1,500842.34,253930.86,1,0,0,0,4,4
BEDFORDSHIRE,6.5202315,MILTON ERNEST,1,502058.44,256277.89,1,0,0,0,4,4
BEDFORDSHIRE,8.172307500000001,CLAPHAM,0,503857.72,253555.13,0,0,0,0,4,4
BEDFORDSHIRE,9.388913000000001,RAVENSDEN,1,506608.25,254946.63,1,0,0,0,4,4
BEDFORDSHIRE,9.256964,WILDEN,1,509648.44,255324.19,0,0,0,0,4,4
BEDFORDSHIRE,12.016452,ROXTON,0,514267.41,255287.59,1,0,0,.0015313936,4,4
BEDFORDSHIRE,4.802004,LITTLE BARFORD,0,518522.59,256512.89,1,0,0,0,4,4
BEDFORDSHIRE,9.516764999999999,TEMPSFORD,1,517296.94,254068.94,1,0,0,0,4,4
BEDFORDSHIRE,7.844844,YELDEN,0,501095.94,267112.63,0,0,0,,4,4
BEDFORDSHIRE,4.775666,BLUNHAM,1,514606.13,251838.95,1,0,0,0,4,4
BEDFORDSHIRE,7.4149705,MOGGERHANGER,0,514185.47,249605.67,1,0,0,0,4,4
BEDFORDSHIRE,11.471423,GREAT BARFORD,0,512351.72,252841.23,1,0,0,,4,4
BEDFORDSHIRE,9.022734,RENHOLD,0,509310.5,252415.02,1,0,0,0,4,4
BEDFORDSHIRE,10.461912,GOLDINGTON,2,506830.34,251438.78,1,0,0,0,4,4
BEDFORDSHIRE,1.244233125,"BEDFORD, ST CUTHBERT",4,506042.94,250058.8,0,0,0,0,4,4
BEDFORDSHIRE,2.24653575,"BEDFORD, ST PETER",0,505275.47,251055.95,0,0,0,0,4,4
BEDFORDSHIRE,.127960546875,"BEDFORD, ST PAUL",0,505209.44,249758.38,0,0,0,.00075834175,4,4
BEDFORDSHIRE,3.127954,"BEDFORD, ST PAUL",0,504209.88,250223.59,1,0,0,,4,4
BEDFORDSHIRE,.214183703125,"BEDFORD, ST MARY",0,505582.5,248775.33,0,0,0,,4,4
BEDFORDSHIRE,1.831222625,"BEDFORD, ST MARY",0,505017.91,249410.3,1,0,0,0,4,4
BEDFORDSHIRE,.182139984375,"BEDFORD, ST JOHN",0,505396.69,249402.19,0,0,0,0,4,4
BEDFORDSHIRE,.0139144765625,"BEDFORD, ST JOHN",0,505080.56,249209.28,0,0,0,,4,4
BEDFORDSHIRE,10.704371,MELCHBOURNE,0,502761.5,265548.38,1,0,0,0,4,4
BEDFORDSHIRE,6.5406805,BIDDENHAM,0,502305.22,249744.48,1,0,0,0,4,4
BEDFORDSHIRE,20.29945,KEMPSTON,4,501504.16,247113.47,1,0,3.0647252,0,4,4
BEDFORDSHIRE,15.335123,WOOTTON,0,500610.81,244312.52,1,0,0,0,4,4
BEDFORDSHIRE,6.5890435,ELSTOW,2,505047.16,246355.78,1,0,0,0,4,4
BEDFORDSHIRE,10.112112,CARDINGTON,1,509366.72,247261.5,1,0,0,0,4,4
BEDFORDSHIRE,11.455248,EASTCOTTS,0,508121.66,246019.02,0,0,0,0,4,4
BEDFORDSHIRE,8.599411999999999,COPLE,2,510741.03,248024.06,1,0,0,0,4,4
BEDFORDSHIRE,6.6892725,WILLINGTON,0,511911.75,249015.08,1,0,0,0,4,4
BEDFORDSHIRE,15.282788,SANDY,1,518163.34,249562.11,1,0,0,,4,4
BEDFORDSHIRE,2.2212725,BEESTON,1,517025.72,247808.84,1,0,0,,4,4
BEDFORDSHIRE,7.0970165,KNOTTING,0,500238.25,262719.72,0,0,0,0,4,4
BEDFORDSHIRE,5.540357,EVERTON,1,519006.72,251369.39,1,0,0,0,4,4
BEDFORDSHIRE,10.861104,POTTON,2,523004.09,249671.22,1,0,0,.0011312218,4,4
BEDFORDSHIRE,8.997820000000001,SUTTON,0,522073.63,247172.67,0,0,0,.018134715,4,4
BEDFORDSHIRE,4.8300095,COCKAYNE HATLEY,0,526072.5,249461.09,1,0,0,0,4,4
BEDFORDSHIRE,6.8357715,WRESTLINGWORTH,0,525659.88,247167.09,1,0,0,0,4,4
BEDFORDSHIRE,5.072144,EYEWORTH,0,525288.31,245255.77,0,0,0,0,4,4
BEDFORDSHIRE,10.631086,DUNTON,0,523831.69,243656.09,1,0,0,0,4,4
BEDFORDSHIRE,18.694528,BIGGLESWADE,2,520334.59,244062.72,1,0,0,.0021698698,4,4
BEDFORDSHIRE,11.041773,NORTHILL,1,515838.38,245947.39,1,0,0,0,4,4
BEDFORDSHIRE,5.692291,THORNCOTE,1,514908.75,247660.42,1,0,0,0,4,4
BEDFORDSHIRE,13.670936,OLD WARDEN,0,513882.09,244217.64,1,0,0,0,4,4
