STARTcounty,area,pla,agr_share_1831,latitude,longitude,valordummy,lLStax_pc,ind_share_1831,cutoff1,cutoff2
BEDFORDSHIRE,10.02837,HESWALL DEAN,.75968993,504983.34,268451.44,0,0,.20155039,4,4
BEDFORDSHIRE,21.239832,PODINGTON,.67512691,492201.69,266635.19,1,4.2850828,.23096447,4,4
BEDFORDSHIRE,3.84992175,FARNDISH,.66666669,492895.22,263030.5,0,0,0,4,4
BEDFORDSHIRE,11.475268,ODELL,,496054.94,258969.66,1,2.9582746,,4,4
BEDFORDSHIRE,12.882775,HARROLD,.42500001,493345.31,257028.48,1,3.82231,.39285713,4,4
BEDFORDSHIRE,6.0948955,CARLTON,.61165047,496103.34,254976.38,1,3.0236013,.28155339,4,4
BEDFORDSHIRE,2.18739175,CHELLINGTON,,496177.44,256306.33,0,4.0163832,,4,4
BEDFORDSHIRE,8.0219305,FELMERSHAM,.8888889,499316.94,257572.17,0,3.2580965,.074074075,4,4
BEDFORDSHIRE,5.753017,PAVENHAM,.86466163,499648.88,255489.44,0,3.7356267,.11278196,4,4
BEDFORDSHIRE,7.31344,STEVINGTON,.66115701,498333.81,252851.39,1,4.0861917,.18181819,4,4
BEDFORDSHIRE,16.205208,TURVEY,.64928907,495255.66,251857.53,0,4.2835865,.27962086,4,4
BEDFORDSHIRE,3.82764875,SHELTON,.71428573,502767.28,269496.63,0,0,.085714288,4,4
BEDFORDSHIRE,13.916167,STAGSDEN,.77777779,497768.59,248919.22,1,3.3502119,.0625,4,4
BEDFORDSHIRE,7.4900295,BROMHAM,.82926828,501014.09,251658.66,1,3.4616516,.097560972,4,4
BEDFORDSHIRE,7.2366195,OAKLEY,.54471546,500842.34,253930.86,1,0,.26016259,4,4
BEDFORDSHIRE,6.5202315,MILTON ERNEST,.94680852,502058.44,256277.89,1,0,.05319149,4,4
BEDFORDSHIRE,8.172307500000001,CLAPHAM,.84507042,503857.72,253555.13,0,0,.11267605,4,4
BEDFORDSHIRE,9.388913000000001,RAVENSDEN,.88571429,506608.25,254946.63,1,0,.028571429,4,4
BEDFORDSHIRE,9.256964,WILDEN,.80612242,509648.44,255324.19,0,0,.1122449,4,4
BEDFORDSHIRE,12.016452,ROXTON,.75555557,514267.41,255287.59,1,0,.14603175,4,4
BEDFORDSHIRE,4.802004,LITTLE BARFORD,1,518522.59,256512.89,1,0,0,4,4
BEDFORDSHIRE,9.516764999999999,TEMPSFORD,.61788619,517296.94,254068.94,1,0,.24390244,4,4
BEDFORDSHIRE,7.844844,YELDEN,,501095.94,267112.63,0,0,,4,4
BEDFORDSHIRE,4.775666,BLUNHAM,.50993377,514606.13,251838.95,1,0,.31125829,4,4
BEDFORDSHIRE,7.4149705,MOGGERHANGER,.64705884,514185.47,249605.67,1,0,.15158372,4,4
BEDFORDSHIRE,11.471423,GREAT BARFORD,,512351.72,252841.23,1,0,,4,4
BEDFORDSHIRE,9.022734,RENHOLD,.75,509310.5,252415.02,1,0,.1127451,4,4
BEDFORDSHIRE,10.461912,GOLDINGTON,.69402987,506830.34,251438.78,1,0,.20895523,4,4
BEDFORDSHIRE,1.244233125,"BEDFORD, ST CUTHBERT",.17791411,506042.94,250058.8,0,0,.45398772,4,4
BEDFORDSHIRE,2.24653575,"BEDFORD, ST PETER",.084905662,505275.47,251055.95,0,0,.4245283,4,4
BEDFORDSHIRE,.127960546875,"BEDFORD, ST PAUL",.090721652,505209.44,249758.38,0,0,.58659792,4,4
BEDFORDSHIRE,3.127954,"BEDFORD, ST PAUL",,504209.88,250223.59,1,0,,4,4
BEDFORDSHIRE,.214183703125,"BEDFORD, ST MARY",,505582.5,248775.33,0,0,,4,4
BEDFORDSHIRE,1.831222625,"BEDFORD, ST MARY",0,505017.91,249410.3,1,0,.48387095,4,4
BEDFORDSHIRE,.182139984375,"BEDFORD, ST JOHN",.16521738,505396.69,249402.19,0,0,.5826087,4,4
BEDFORDSHIRE,.0139144765625,"BEDFORD, ST JOHN",,505080.56,249209.28,0,0,,4,4
BEDFORDSHIRE,10.704371,MELCHBOURNE,.71428573,502761.5,265548.38,1,0,.047619049,4,4
BEDFORDSHIRE,6.5406805,BIDDENHAM,.86516851,502305.22,249744.48,1,0,.078651689,4,4
BEDFORDSHIRE,20.29945,KEMPSTON,.56695157,501504.16,247113.47,1,3.0647252,.21367522,4,4
BEDFORDSHIRE,15.335123,WOOTTON,.55967081,500610.81,244312.52,1,0,.19341564,4,4
BEDFORDSHIRE,6.5890435,ELSTOW,.73239434,505047.16,246355.78,1,0,.11267605,4,4
BEDFORDSHIRE,10.112112,CARDINGTON,.72857141,509366.72,247261.5,1,0,.25714287,4,4
BEDFORDSHIRE,11.455248,EASTCOTTS,.80794704,508121.66,246019.02,0,0,.18543047,4,4
BEDFORDSHIRE,8.599411999999999,COPLE,.68055558,510741.03,248024.06,1,0,.15972222,4,4
BEDFORDSHIRE,6.6892725,WILLINGTON,.78823531,511911.75,249015.08,1,0,.082352944,4,4
BEDFORDSHIRE,15.282788,SANDY,,518163.34,249562.11,1,0,,4,4
BEDFORDSHIRE,2.2212725,BEESTON,,517025.72,247808.84,1,0,,4,4
BEDFORDSHIRE,7.0970165,KNOTTING,1,500238.25,262719.72,0,0,0,4,4
BEDFORDSHIRE,5.540357,EVERTON,.82456142,519006.72,251369.39,1,0,.087719299,4,4
BEDFORDSHIRE,10.861104,POTTON,.5,523004.09,249671.22,1,0,.37560976,4,4
BEDFORDSHIRE,8.997820000000001,SUTTON,.95762712,522073.63,247172.67,0,0,.016949153,4,4
BEDFORDSHIRE,4.8300095,COCKAYNE HATLEY,.77777779,526072.5,249461.09,1,0,.037037037,4,4
BEDFORDSHIRE,6.8357715,WRESTLINGWORTH,.79069769,525659.88,247167.09,1,0,.1007752,4,4
BEDFORDSHIRE,5.072144,EYEWORTH,.97560978,525288.31,245255.77,0,0,0,4,4
BEDFORDSHIRE,10.631086,DUNTON,.8318584,523831.69,243656.09,1,0,.088495575,4,4
BEDFORDSHIRE,18.694528,BIGGLESWADE,.29916897,520334.59,244062.72,1,0,.28808865,4,4
