STARTcounty,hundred,area,pla,agr_share_1831,NrGentry,mills,fivemilegrid_id,tenmilegrid_id,copyhold_count_1850,market_1600,valordummy,mill,lLStax_pc,perc_catholics_1800,ind_share_1831,North_South,East_West
BEDFORDSHIRE,MANSHEAD,4.8743065,BILLINGTON,.82089549,1,0,4440,1128,3,,0,0,3.3447309,0,.11940298,0,1
BEDFORDSHIRE,WILLEY,13.894277,THURLEIGH,.74336284,0,0,5171,1286,,,1,0,3.1449018,0,.13274336,0,1
BEDFORDSHIRE,MANSHEAD,9.59637,EATON BRAY,.62612611,1,0,4337,1077,7,,0,0,3.0417976,0,.27927929,0,1
BEDFORDSHIRE,MANSHEAD,9.425725999999999,TOTTERNHOE,.74193549,0,0,4337,1077,,,1,0,3.3560872,0,.16935484,0,1
BEDFORDSHIRE,MANSHEAD,3.7779065,WHIPSNADE,.89655173,0,0,4338,1077,,,1,0,3.4122472,0,.086206898,0,1
BEDFORDSHIRE,MANSHEAD,6.427053,STUDHAM,.83495146,0,0,4338,1077,,,1,0,2.9400434,0,.11650486,0,1
BEDFORDSHIRE,MANSHEAD,.631890625,HUMBERSHOE,.42045453,0,0,4339,1078,,,1,0,0,0,.46590909,0,1
BEDFORDSHIRE,BIGGLESWADE,4.597722,EDWORTH,.89285713,0,0,4758,1183,,,0,0,0,0,.071428575,0,1
BEDFORDSHIRE,WILLEY,9.132828,BLETSOE,.89361703,0,0,5170,1285,,,0,0,4.2693644,0,.063829787,0,1
BEDFORDSHIRE,WILLEY,9.613822000000001,SHARNBROOK,.50531918,3,0,5170,1285,,,1,0,0,0,.34042552,0,1
BEDFORDSHIRE,WILLEY,.1165851796875,COLWORTH,,0,0,5169,1285,,,0,0,0,,,0,1
BEDFORDSHIRE,WILLEY,4.323311,SOULDROP,.93506491,0,0,5273,1337,,,0,0,0,0,.038961038,0,1
BEDFORDSHIRE,WILLEY,6.9971805,WYMINGTON,.91176468,0,0,5273,1337,,,0,0,2.5563657,0,.088235296,0,1
BEDFORDSHIRE,STODDEN,10.02837,HESWALL DEAN,.75968993,0,0,5379,1338,,,0,0,0,.0038986355,.20155039,0,1
BEDFORDSHIRE,WILLEY,21.239832,PODINGTON,.67512691,0,0,5272,1336,,,1,0,4.2850828,0,.23096447,0,1
BEDFORDSHIRE,WILLEY,3.84992175,FARNDISH,.66666669,0,0,5272,1336,,,0,0,0,0,0,0,1
BEDFORDSHIRE,WILLEY,11.475268,ODELL,,0,0,5169,1285,,0,1,0,2.9582746,,,0,1
BEDFORDSHIRE,WILLEY,12.882775,HARROLD,.42500001,0,0,5168,1284,,,1,0,3.82231,.0010050251,.39285713,0,1
BEDFORDSHIRE,WILLEY,6.0948955,CARLTON,.61165047,1,0,5065,1285,,,1,0,3.0236013,.0023584906,.28155339,0,1
BEDFORDSHIRE,WILLEY,2.18739175,CHELLINGTON,,1,0,5065,1285,,,0,0,4.0163832,,,0,1
BEDFORDSHIRE,WILLEY,8.0219305,FELMERSHAM,.8888889,1,0,5170,1285,2,,0,0,3.2580965,0,.074074075,0,1
BEDFORDSHIRE,WILLEY,5.753017,PAVENHAM,.86466163,0,0,5066,1285,2,,0,0,3.7356267,0,.11278196,0,1
BEDFORDSHIRE,WILLEY,7.31344,STEVINGTON,.66115701,0,0,5065,1285,6,,1,0,4.0861917,0,.18181819,0,1
BEDFORDSHIRE,WILLEY,16.205208,TURVEY,.64928907,0,0,5065,1285,,,0,0,4.2835865,.029352227,.27962086,0,1
BEDFORDSHIRE,STODDEN,3.82764875,SHELTON,.71428573,1,0,5378,1337,,,0,0,0,0,.085714288,0,1
BEDFORDSHIRE,WILLEY,13.916167,STAGSDEN,.77777779,0,0,4961,1233,,,1,0,3.3502119,0,.0625,0,1
BEDFORDSHIRE,WILLEY,7.4900295,BROMHAM,.82926828,0,0,5066,1285,,,1,0,3.4616516,0,.097560972,0,1
BEDFORDSHIRE,STODDEN,7.2366195,OAKLEY,.54471546,1,0,5066,1285,,,1,0,0,0,.26016259,0,1
BEDFORDSHIRE,STODDEN,6.5202315,MILTON ERNEST,.94680852,1,0,5066,1285,,,1,0,0,0,.05319149,0,1
BEDFORDSHIRE,STODDEN,8.172307500000001,CLAPHAM,.84507042,0,0,5066,1285,,,0,0,0,0,.11267605,0,1
BEDFORDSHIRE,BARFORD,9.388913000000001,RAVENSDEN,.88571429,1,0,5067,1286,,,1,0,0,0,.028571429,0,1
BEDFORDSHIRE,BARFORD,9.256964,WILDEN,.80612242,1,0,5068,1286,,,0,0,0,0,.1122449,0,1
BEDFORDSHIRE,BARFORD,12.016452,ROXTON,.75555557,0,0,5069,1287,,,1,0,0,.0015313936,.14603175,0,1
BEDFORDSHIRE,BIGGLESWADE,4.802004,LITTLE BARFORD,1,0,0,5173,1287,,,1,0,0,0,0,0,1
BEDFORDSHIRE,BIGGLESWADE,9.516764999999999,TEMPSFORD,.61788619,1,0,5069,1287,,,1,0,0,0,.24390244,0,1
BEDFORDSHIRE,STODDEN,7.844844,YELDEN,,0,0,5378,1337,,,0,0,0,,,0,1
BEDFORDSHIRE,WIXAMTREE,4.775666,BLUNHAM,.50993377,1,0,5069,1287,1,0,1,0,0,0,.31125829,0,1
BEDFORDSHIRE,WIXAMTREE,7.4149705,MOGGERHANGER,.64705884,0,0,4964,1234,1,,1,0,0,0,.15158372,0,1
BEDFORDSHIRE,BARFORD,11.471423,GREAT BARFORD,,0,0,5068,1286,,,1,0,0,,,0,1
BEDFORDSHIRE,BARFORD,9.022734,RENHOLD,.75,0,0,5068,1286,,,1,0,0,0,.1127451,0,1
BEDFORDSHIRE,BARFORD,10.461912,GOLDINGTON,.69402987,2,0,5067,1286,,,1,0,0,0,.20895523,0,1
BEDFORDSHIRE,BEDFORD BOROUGH,1.244233125,"BEDFORD, ST CUTHBERT",.17791411,4,0,4963,1234,,,0,0,0,0,.45398772,0,1
BEDFORDSHIRE,BEDFORD BOROUGH,2.24653575,"BEDFORD, ST PETER",.084905662,0,0,4963,1234,,,0,0,0,0,.4245283,0,1
BEDFORDSHIRE,BEDFORD BOROUGH,.127960546875,"BEDFORD, ST PAUL",.090721652,0,0,4963,1234,,,0,0,0,.00075834175,.58659792,0,1
BEDFORDSHIRE,BEDFORD BOROUGH,3.127954,"BEDFORD, ST PAUL",,0,0,4963,1234,,1,1,0,0,,,0,1
BEDFORDSHIRE,BEDFORD BOROUGH,.214183703125,"BEDFORD, ST MARY",,0,0,4963,1234,,,0,0,0,,,0,1
BEDFORDSHIRE,BEDFORD BOROUGH,1.831222625,"BEDFORD, ST MARY",0,0,0,4963,1234,,,1,0,0,0,.48387095,0,1
BEDFORDSHIRE,BEDFORD BOROUGH,.182139984375,"BEDFORD, ST JOHN",.16521738,0,0,4963,1234,,,0,0,0,0,.5826087,0,1
BEDFORDSHIRE,BEDFORD BOROUGH,.0139144765625,"BEDFORD, ST JOHN",,0,0,4963,1234,,,0,0,0,,,0,1
BEDFORDSHIRE,STODDEN,10.704371,MELCHBOURNE,.71428573,0,0,5274,1337,,0,1,0,0,0,.047619049,0,1
BEDFORDSHIRE,WILLEY,6.5406805,BIDDENHAM,.86516851,0,0,4962,1233,,,1,0,0,0,.078651689,0,1
BEDFORDSHIRE,REDBORNESTOKE,20.29945,KEMPSTON,.56695157,4,0,4962,1233,2,,1,0,3.0647252,0,.21367522,0,1
BEDFORDSHIRE,REDBORNESTOKE,15.335123,WOOTTON,.55967081,0,0,4858,1233,,,1,0,0,0,.19341564,0,1
BEDFORDSHIRE,REDBORNESTOKE,6.5890435,ELSTOW,.73239434,2,0,4859,1234,,0,1,0,0,0,.11267605,0,1
BEDFORDSHIRE,WIXAMTREE,10.112112,CARDINGTON,.72857141,1,0,4964,1234,,,1,0,0,0,.25714287,0,1
BEDFORDSHIRE,WIXAMTREE,11.455248,EASTCOTTS,.80794704,0,0,4859,1234,,,0,0,0,0,.18543047,0,1
BEDFORDSHIRE,WIXAMTREE,8.599411999999999,COPLE,.68055558,2,0,4964,1234,,,1,0,0,0,.15972222,0,1
BEDFORDSHIRE,WIXAMTREE,6.6892725,WILLINGTON,.78823531,0,0,4964,1234,,,1,0,0,0,.082352944,0,1
BEDFORDSHIRE,BIGGLESWADE,15.282788,SANDY,,1,0,4965,1235,1,,1,0,0,,,0,1
BEDFORDSHIRE,WIXAMTREE,2.2212725,BEESTON,,1,0,4965,1235,4,,1,0,0,,,0,1
BEDFORDSHIRE,STODDEN,7.0970165,KNOTTING,1,0,0,5274,1337,,,0,0,0,0,0,0,1
BEDFORDSHIRE,BIGGLESWADE,5.540357,EVERTON,.82456142,1,0,4965,1235,,0,1,0,0,0,.087719299,0,1
BEDFORDSHIRE,BIGGLESWADE,10.861104,POTTON,.5,2,0,4966,1235,,1,1,0,0,.0011312218,.37560976,0,1
BEDFORDSHIRE,BIGGLESWADE,8.997820000000001,SUTTON,.95762712,0,0,4966,1235,,,0,0,0,.018134715,.016949153,0,1
BEDFORDSHIRE,BIGGLESWADE,4.8300095,COCKAYNE HATLEY,.77777779,0,0,4967,1236,,,1,0,0,0,.037037037,0,1
BEDFORDSHIRE,BIGGLESWADE,6.8357715,WRESTLINGWORTH,.79069769,0,0,4967,1236,,,1,0,0,0,.1007752,0,1
BEDFORDSHIRE,BIGGLESWADE,5.072144,EYEWORTH,.97560978,0,0,4863,1236,,,0,0,0,0,0,0,1
BEDFORDSHIRE,BIGGLESWADE,10.631086,DUNTON,.8318584,0,0,4862,1235,,,1,0,0,0,.088495575,0,1
BEDFORDSHIRE,BIGGLESWADE,18.694528,BIGGLESWADE,.29916897,2,0,4862,1235,,,1,0,0,.0021698698,.28808865,0,1
BEDFORDSHIRE,WIXAMTREE,11.041773,NORTHILL,.90047395,1,0,4861,1235,,,1,0,0,0,.07109005,0,1
BEDFORDSHIRE,WIXAMTREE,5.692291,THORNCOTE,.92537314,1,0,4965,1235,,,1,0,0,0,.014925373,0,1
BEDFORDSHIRE,WIXAMTREE,13.670936,OLD WARDEN,.67948717,0,0,4860,1234,,1,1,0,0,0,.083333336,0,1
BEDFORDSHIRE,STODDEN,12.559881,RISELEY,.55026454,0,0,5274,1337,,,1,0,0,0,.33333334,0,1
BEDFORDSHIRE,FLITT,10.450679,HAYNES,.80392158,0,0,4755,1182,,,1,0,2.786382,0,.11111111,0,1
BEDFORDSHIRE,REDBORNESTOKE,12.779535,WILSTEAD,.828125,3,0,4859,1234,,,0,0,0,0,.14583333,0,1
BEDFORDSHIRE,REDBORNESTOKE,17.425602,MARSTON MORETAINE,.80232561,1,0,4857,1233,,0,1,0,0,0,.10465116,0,1
BEDFORDSHIRE,REDBORNESTOKE,16.001768,CRANFIELD,.63,2,0,4857,1233,,,1,0,0,0,.24333334,0,1
BEDFORDSHIRE,MANSHEAD,3.512851,SALFORD,.76249999,0,0,4752,1180,,,1,0,3.4978242,.067647062,.1875,0,1
BEDFORDSHIRE,MANSHEAD,3.55584525,HOLCOT,.9375,0,0,4753,1181,,,1,0,3.7297015,0,0,0,1
BEDFORDSHIRE,MANSHEAD,7.5019955,ASPLEY GUISE,.4573991,0,0,4752,1180,,0,0,0,3.7781105,0,.38116592,0,1
BEDFORDSHIRE,MANSHEAD,6.419572,HUSBORNE CRAWLEY,.60736197,0,0,4649,1181,,,1,0,2.7797744,0,.22699386,0,1
BEDFORDSHIRE,REDBORNESTOKE,9.220715999999999,RIDGMONT,.69515669,2,0,4753,1181,,,1,0,0,0,.18233618,0,1
BEDFORDSHIRE,STODDEN,14.38677959375,KEYSOE,.75925928,0,0,5275,1338,,,1,0,0,0,.098765433,0,1
BEDFORDSHIRE,REDBORNESTOKE,10.30425,LIDLINGTON,.73863637,0,0,4753,1181,,,1,0,0,0,.19886364,0,1
BEDFORDSHIRE,REDBORNESTOKE,7.188466,MILLBROOK,.89147288,1,0,4754,1181,,0,0,0,0,0,.093023255,0,1
BEDFORDSHIRE,REDBORNESTOKE,7.630918,AMPTHILL,.35768262,3,0,4754,1181,,1,0,0,0,.00059241708,.52896726,0,1
BEDFORDSHIRE,REDBORNESTOKE,10.516223,MAULDEN,.63898915,0,0,4755,1182,,,0,0,0,0,.23104693,0,1
BEDFORDSHIRE,FLITT,9.730437999999999,CLOPHILL,.59836066,0,0,4756,1182,4,0,1,0,3.2251718,0,.19262294,0,1
BEDFORDSHIRE,CLIFTON,3.8897625,CAMPTON,.76146787,2,0,4756,1182,,0,1,0,0,.048997771,.16513762,0,1
BEDFORDSHIRE,CLIFTON,.63569525,SHEFFORD,.14285715,2,0,4756,1182,,1,1,0,0,.028833551,.5714286,0,1
BEDFORDSHIRE,WIXAMTREE,1.514572375,SHEFFORD HARDWICK,.5,0,0,4756,1182,,,0,0,0,0,0,0,1
BEDFORDSHIRE,CLIFTON,5.815373,CHICKSANDS,.7647059,0,0,4756,1182,,,1,0,0,0,0,0,1
BEDFORDSHIRE,WIXAMTREE,10.809603,SOUTHILL,.62427747,3,0,4860,1234,,0,1,0,0,0,.0867052,0,1
BEDFORDSHIRE,STODDEN,7.549953125,PERTENHALL,.71084338,0,0,5275,1338,,,1,0,0,0,.12048193,0,1
BEDFORDSHIRE,WIXAMTREE,1.359387,STANFORDBURY,,0,0,4757,1183,,,1,0,0,,,0,1
BEDFORDSHIRE,WIXAMTREE,5.765775,STANFORD,.67032969,1,0,4861,1235,,,1,0,0,0,.14285715,0,1
BEDFORDSHIRE,WIXAMTREE,5.308306,BROOM,.76623374,0,0,4861,1235,,,0,0,0,0,.18181819,0,1
BEDFORDSHIRE,CLIFTON,5.7567345,CLIFTON,.67114097,2,0,4757,1183,,,1,0,0,.0030120481,.28859061,0,1
BEDFORDSHIRE,CLIFTON,9.607267,HENLOW,.68518519,2,0,4757,1183,,,1,0,0,0,.22222222,0,1
BEDFORDSHIRE,BIGGLESWADE,8.396508000000001,LANGFORD,.84049082,0,0,4758,1183,,,1,0,0,0,.14723927,0,1
BEDFORDSHIRE,BIGGLESWADE,2.67212925,ASTWICK,.85000002,1,0,4758,1183,,,1,0,0,0,.050000001,0,1
BEDFORDSHIRE,CLIFTON,9.490479000000001,ARLESEY,.60645163,2,0,4654,1183,,0,0,0,0,0,.14193548,0,1
BEDFORDSHIRE,CLIFTON,9.651617999999999,STOTFOLD,.71938777,0,0,4654,1183,6,,1,0,0,0,.26530612,0,1
BEDFORDSHIRE,CLIFTON,2.386063125,HOLWELL,.81578946,0,0,4653,1183,,,1,0,0,0,.10526316,0,1
BERKSHIRE,HORMER,4.7003115,WYTHAM,.61290324,0,0,4119,1020,,0,0,0,4.021091,0,.20967741,0,0
BERKSHIRE,HORMER,.276531,CHANDLINGS FARM,,0,0,3912,968,,,0,0,0,,,0,0
BERKSHIRE,SHRIVENHAM,12.977297125,UFFINGTON,.59027779,1,0,3700,914,,,1,0,0,0,.22916667,0,0
BERKSHIRE,SHRIVENHAM,8.13746096875,WOOLSTONE,.70422536,0,0,3700,914,,,1,0,0,0,.14084508,0,0
