STARTcounty,area,pla,latitude,longitude,valordummy,LS_pc_change,pc_change1525_1086,pc_change1525_1066,pc_change1332_1086,pc_change1332_1066,pc_change1086_1066,cutoff1,cutoff2
BEDFORDSHIRE,13.894277,THURLEIGH,505275.97,258319,1.443785,-.11070023,-.13005754,-.044441838,-.15690701,-.16377294,-.076643206,4,4
BEDFORDSHIRE,9.59637,EATON BRAY,497878.38,220249.48,-.69258142,-.24297658,,,,,,4,4
BEDFORDSHIRE,9.425725999999999,TOTTERNHOE,499060.44,221302.92,1.443785,.0068458463,-.11901542,-.048366424,-.15979791,-.18956447,-.14439389,4,4
BEDFORDSHIRE,3.7779065,WHIPSNADE,501755.63,217873.25,1.443785,,,,,,,4,4
BEDFORDSHIRE,6.427053,STUDHAM,501240.81,216738.55,1.443785,,,,,,,4,4
BEDFORDSHIRE,.631890625,HUMBERSHOE,505512.69,216836.34,1.443785,,,,,,,4,4
BEDFORDSHIRE,4.597722,EDWORTH,522424.03,241033.83,-.69258142,-.40523645,-.16540518,-.05233968,-.17991391,-.17816247,-.047186397,4,4
BEDFORDSHIRE,9.132828,BLETSOE,502594.19,259333.28,-.69258142,.80858266,-.051361602,-.020488258,-.16703555,-.16463479,-.049176719,4,4
BEDFORDSHIRE,9.613822000000001,SHARNBROOK,499550.5,259960.45,1.443785,-.40523645,-.16540518,-.05233968,-.11559033,-.16940358,-.13639194,4,4
BEDFORDSHIRE,.1165851796875,COLWORTH,497045.97,260346.3,-.69258142,,,,,,,4,4
BEDFORDSHIRE,4.323311,SOULDROP,497660.81,261499.42,-.69258142,,,,,,,4,4
BEDFORDSHIRE,6.9971805,WYMINGTON,495831.28,263929.59,-.69258142,-.26193625,-.14408763,-.04892616,-.14573154,-.16826926,-.1077719,4,4
BEDFORDSHIRE,10.02837,HESWALL DEAN,504983.34,268451.44,-.69258142,-.40523645,-.16540518,-.05233968,-.13265568,-.16579002,-.11784295,4,4
BEDFORDSHIRE,21.239832,PODINGTON,492201.69,266635.19,1.443785,.79021996,.14547032,.036897045,-.10247362,-.091933981,-.045361944,4,4
BEDFORDSHIRE,3.84992175,FARNDISH,492895.22,263030.5,-.69258142,,-.16540518,-.05233968,,,-.11130331,4,4
BEDFORDSHIRE,11.475268,ODELL,496054.94,258969.66,1.443785,-.16378184,-.13050003,-.047645856,-.14736395,-.17484905,-.12038614,4,4
BEDFORDSHIRE,12.882775,HARROLD,493345.31,257028.48,1.443785,.1432249,-.13348669,-.050556768,-.18093497,-.19916333,-.15904269,4,4
BEDFORDSHIRE,6.0948955,CARLTON,496103.34,254976.38,1.443785,-.10677195,-.12916061,-.045543153,-.15635288,-.16984491,-.094303146,4,4
BEDFORDSHIRE,2.18739175,CHELLINGTON,496177.44,256306.33,-.69258142,,,,,,,4,4
BEDFORDSHIRE,8.0219305,FELMERSHAM,499316.94,257572.17,-.69258142,-.13695334,-.13739811,-.049828868,-.16297765,-.18998964,-.14242716,4,4
BEDFORDSHIRE,5.753017,PAVENHAM,499648.88,255489.44,-.69258142,.022483895,-.10091184,-.046212997,-.1449454,-.18253237,-.13979745,4,4
BEDFORDSHIRE,7.31344,STEVINGTON,498333.81,252851.39,1.443785,.20378584,-.1242293,-.048761878,-.17727591,-.19522248,-.14378352,4,4
BEDFORDSHIRE,16.205208,TURVEY,495255.66,251857.53,-.69258142,.27342761,-.055846773,-.037709378,-.14080618,-.17166843,-.12084585,4,4
BEDFORDSHIRE,3.82764875,SHELTON,502767.28,269496.63,-.69258142,-.40523645,-.16540518,-.05233968,-.14544627,-.17428,-.12132203,4,4
BEDFORDSHIRE,13.916167,STAGSDEN,497768.59,248919.22,1.443785,-.10790731,-.12054867,-.044393964,-.14491396,-.16390944,-.099408224,4,4
BEDFORDSHIRE,7.4900295,BROMHAM,501014.09,251658.66,1.443785,-.096970268,-.13738079,-.042491652,-.16821904,-.15606521,-.013715293,4,4
BEDFORDSHIRE,7.2366195,OAKLEY,500842.34,253930.86,1.443785,,-.16540518,-.05233968,,,-.11160056,4,4
BEDFORDSHIRE,6.5202315,MILTON ERNEST,502058.44,256277.89,1.443785,-.40523645,-.16540518,-.05233968,-.16732906,-.1842884,-.1171046,4,4
BEDFORDSHIRE,8.172307500000001,CLAPHAM,503857.72,253555.13,-.69258142,-.40523645,-.16540518,-.05233968,-.16123243,-.15837246,-.049176719,4,4
BEDFORDSHIRE,9.388913000000001,RAVENSDEN,506608.25,254946.63,1.443785,,-.16540518,-.05233968,,,-.082059138,4,4
BEDFORDSHIRE,9.256964,WILDEN,509648.44,255324.19,-.69258142,-.40523645,-.16540518,-.05233968,-.13616948,-.18222983,-.14530943,4,4
BEDFORDSHIRE,12.016452,ROXTON,514267.41,255287.59,1.443785,-.40523645,-.16540518,-.05233968,-.14425983,-.18046188,-.13589385,4,4
BEDFORDSHIRE,4.802004,LITTLE BARFORD,518522.59,256512.89,1.443785,-.40523645,,,,,,4,4
BEDFORDSHIRE,9.516764999999999,TEMPSFORD,517296.94,254068.94,1.443785,-.40523645,-.16540518,-.05233968,-.17002074,-.18250431,-.10476367,4,4
BEDFORDSHIRE,7.844844,YELDEN,501095.94,267112.63,-.69258142,-.40523645,-.16540518,-.05233968,-.16173227,-.13634498,.019489489,4,4
BEDFORDSHIRE,4.775666,BLUNHAM,514606.13,251838.95,1.443785,-.40523645,-.16540518,-.05233968,-.16764158,-.18587001,-.12210499,4,4
BEDFORDSHIRE,7.4149705,MOGGERHANGER,514185.47,249605.67,1.443785,-.40523645,-.16540518,-.05233968,-.16925937,-.18348394,-.11021338,4,4
