STARTcounty,area,pla,latitude,longitude,NrPatents,WheatYield,valordummy,enclosed,lLStax_pc,thresh_machines,cutoff1,cutoff2
BEDFORDSHIRE,3.84992175,FARNDISH,492895.22,263030.5,0,,0,1,0,0,4,4
BEDFORDSHIRE,11.475268,ODELL,496054.94,258969.66,0,,1,1,2.9582746,0,4,4
BEDFORDSHIRE,12.882775,HARROLD,493345.31,257028.48,0,,1,0,3.82231,0,4,4
BEDFORDSHIRE,6.0948955,CARLTON,496103.34,254976.38,0,,1,1,3.0236013,0,4,4
BEDFORDSHIRE,2.18739175,CHELLINGTON,496177.44,256306.33,0,,0,1,4.0163832,0,4,4
BEDFORDSHIRE,8.0219305,FELMERSHAM,499316.94,257572.17,0,,0,1,3.2580965,0,4,4
BEDFORDSHIRE,5.753017,PAVENHAM,499648.88,255489.44,0,,0,1,3.7356267,0,4,4
BEDFORDSHIRE,7.31344,STEVINGTON,498333.81,252851.39,0,,1,1,4.0861917,0,4,4
BEDFORDSHIRE,16.205208,TURVEY,495255.66,251857.53,0,,0,1,4.2835865,0,4,4
BEDFORDSHIRE,3.82764875,SHELTON,502767.28,269496.63,0,,0,1,0,0,4,4
BEDFORDSHIRE,13.916167,STAGSDEN,497768.59,248919.22,0,20,1,1,3.3502119,0,4,4
BEDFORDSHIRE,7.4900295,BROMHAM,501014.09,251658.66,0,,1,0,3.4616516,0,4,4
BEDFORDSHIRE,7.2366195,OAKLEY,500842.34,253930.86,0,,1,1,0,0,4,4
BEDFORDSHIRE,6.5202315,MILTON ERNEST,502058.44,256277.89,0,,1,1,0,0,4,4
BEDFORDSHIRE,8.172307500000001,CLAPHAM,503857.72,253555.13,0,,0,0,0,0,4,4
BEDFORDSHIRE,9.388913000000001,RAVENSDEN,506608.25,254946.63,0,,1,1,0,0,4,4
BEDFORDSHIRE,9.256964,WILDEN,509648.44,255324.19,0,,0,1,0,0,4,4
BEDFORDSHIRE,12.016452,ROXTON,514267.41,255287.59,0,,1,1,0,0,4,4
BEDFORDSHIRE,4.802004,LITTLE BARFORD,518522.59,256512.89,0,18,1,1,0,0,4,4
BEDFORDSHIRE,9.516764999999999,TEMPSFORD,517296.94,254068.94,0,,1,1,0,0,4,4
BEDFORDSHIRE,7.844844,YELDEN,501095.94,267112.63,0,,0,0,0,0,4,4
BEDFORDSHIRE,4.775666,BLUNHAM,514606.13,251838.95,0,,1,1,0,0,4,4
BEDFORDSHIRE,7.4149705,MOGGERHANGER,514185.47,249605.67,0,,1,1,0,0,4,4
BEDFORDSHIRE,11.471423,GREAT BARFORD,512351.72,252841.23,0,,1,1,0,0,4,4
BEDFORDSHIRE,9.022734,RENHOLD,509310.5,252415.02,0,28,1,0,0,0,4,4
BEDFORDSHIRE,10.461912,GOLDINGTON,506830.34,251438.78,0,,1,1,0,0,4,4
BEDFORDSHIRE,1.244233125,"BEDFORD, ST CUTHBERT",506042.94,250058.8,0,,0,1,0,0,4,4
BEDFORDSHIRE,2.24653575,"BEDFORD, ST PETER",505275.47,251055.95,0,,0,1,0,0,4,4
BEDFORDSHIRE,.127960546875,"BEDFORD, ST PAUL",505209.44,249758.38,0,,0,0,0,0,4,4
BEDFORDSHIRE,3.127954,"BEDFORD, ST PAUL",504209.88,250223.59,7,,1,1,0,0,4,4
BEDFORDSHIRE,.214183703125,"BEDFORD, ST MARY",505582.5,248775.33,0,,0,0,0,0,4,4
BEDFORDSHIRE,1.831222625,"BEDFORD, ST MARY",505017.91,249410.3,0,,1,1,0,0,4,4
BEDFORDSHIRE,.182139984375,"BEDFORD, ST JOHN",505396.69,249402.19,0,,0,0,0,0,4,4
BEDFORDSHIRE,.0139144765625,"BEDFORD, ST JOHN",505080.56,249209.28,0,,0,0,0,0,4,4
BEDFORDSHIRE,10.704371,MELCHBOURNE,502761.5,265548.38,0,,1,0,0,0,4,4
BEDFORDSHIRE,6.5406805,BIDDENHAM,502305.22,249744.48,0,,1,1,0,0,4,4
BEDFORDSHIRE,20.29945,KEMPSTON,501504.16,247113.47,0,,1,1,3.0647252,0,4,4
BEDFORDSHIRE,15.335123,WOOTTON,500610.81,244312.52,0,,1,1,0,0,4,4
BEDFORDSHIRE,6.5890435,ELSTOW,505047.16,246355.78,0,,1,1,0,0,4,4
BEDFORDSHIRE,10.112112,CARDINGTON,509366.72,247261.5,0,24,1,1,0,0,4,4
BEDFORDSHIRE,11.455248,EASTCOTTS,508121.66,246019.02,0,,0,0,0,0,4,4
BEDFORDSHIRE,8.599411999999999,COPLE,510741.03,248024.06,0,,1,0,0,0,4,4
BEDFORDSHIRE,6.6892725,WILLINGTON,511911.75,249015.08,0,24,1,0,0,0,4,4
BEDFORDSHIRE,15.282788,SANDY,518163.34,249562.11,0,,1,1,0,0,4,4
BEDFORDSHIRE,2.2212725,BEESTON,517025.72,247808.84,0,,1,0,0,0,4,4
BEDFORDSHIRE,7.0970165,KNOTTING,500238.25,262719.72,0,22,0,0,0,0,4,4
BEDFORDSHIRE,5.540357,EVERTON,519006.72,251369.39,0,,1,1,0,0,4,4
BEDFORDSHIRE,10.861104,POTTON,523004.09,249671.22,0,,1,1,0,0,4,4
BEDFORDSHIRE,8.997820000000001,SUTTON,522073.63,247172.67,0,,0,1,0,0,4,4
BEDFORDSHIRE,4.8300095,COCKAYNE HATLEY,526072.5,249461.09,0,20,1,0,0,0,4,4
BEDFORDSHIRE,6.8357715,WRESTLINGWORTH,525659.88,247167.09,0,,1,1,0,0,4,4
BEDFORDSHIRE,5.072144,EYEWORTH,525288.31,245255.77,0,24,0,0,0,0,4,4
BEDFORDSHIRE,10.631086,DUNTON,523831.69,243656.09,0,,1,1,0,0,4,4
BEDFORDSHIRE,18.694528,BIGGLESWADE,520334.59,244062.72,0,,1,0,0,0,4,4
BEDFORDSHIRE,11.041773,NORTHILL,515838.38,245947.39,0,,1,1,0,0,4,4
BEDFORDSHIRE,5.692291,THORNCOTE,514908.75,247660.42,0,,1,0,0,0,4,4
BEDFORDSHIRE,13.670936,OLD WARDEN,513882.09,244217.64,1,,1,0,0,0,4,4
BEDFORDSHIRE,12.559881,RISELEY,503824.91,262755.63,0,,1,1,0,0,4,4
BEDFORDSHIRE,10.450679,HAYNES,508511.56,241102.83,1,,1,0,2.786382,0,4,4
BEDFORDSHIRE,12.779535,WILSTEAD,506925.69,243850.48,0,,0,1,0,0,4,4
BEDFORDSHIRE,17.425602,MARSTON MORETAINE,499121.25,241988.09,0,,1,1,0,0,4,4
BEDFORDSHIRE,16.001768,CRANFIELD,495269.72,242624.41,0,,1,1,0,0,4,4
BEDFORDSHIRE,3.512851,SALFORD,492653.69,239782.73,0,,1,1,3.4978242,0,4,4
BEDFORDSHIRE,3.55584525,HOLCOT,494703.41,239266.7,0,,1,0,3.7297015,0,4,4
BEDFORDSHIRE,7.5019955,ASPLEY GUISE,494053.59,236520.66,0,,0,1,3.7781105,0,4,4
BEDFORDSHIRE,6.419572,HUSBORNE CRAWLEY,496032.38,236248.84,0,,1,1,2.7797744,0,4,4
BEDFORDSHIRE,9.220715999999999,RIDGMONT,497525.53,237098,0,,1,1,0,0,4,4
BEDFORDSHIRE,14.38677959375,KEYSOE,509583.03,262606.78,0,,1,1,0,0,4,4
BEDFORDSHIRE,10.30425,LIDLINGTON,498390,239157.67,0,,1,1,0,0,4,4
BEDFORDSHIRE,7.188466,MILLBROOK,501178.41,238296.55,0,,0,1,0,0,4,4
