city,latitude,longitude,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,pop1550,pop1600,pop1650,pop1700,pop1750,pop1800,pop1850,11to13,13to15,1500to1550,1550to1600,16to18,150pre,150post,lnInc201,netInc201,lnInc501,netInc501,lnInc1001,netInc1001,netInc_sum,ownLandVal
Barnsley,53.553699999999999,-1.479100000000000,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,4.000000000000000,13.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,8.896174430847168,448.881744384765625,45.931995391845703,1776.181030273437500,195.965118408203125,7255.129394531250000,239.000000,
Bath,51.380000000000003,-2.360000000000000,1.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,10.000000000000000,33.000000000000000,54.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,15.500000000000000,1.000000000000000,0.500000000000000,19.182201385498047,1209.453491210937500,67.216995239257812,4362.333984375000000,202.336196899414034,14158.680664062500000,617.000000,
Beverley,53.844999999999999,-0.427000000000000,1.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,4.000000000000000,6.000000000000000,9.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,1.000000000000000,0.500000000000000,22.112949371337891,823.846923828125000,65.298385620117188,2280.183593750000000,218.994903564453125,7772.794433593749091,164.000000,
Bilston,52.566000000000003,-2.072800000000000,1.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,3.000000000000000,4.000000000000000,5.000000000000000,7.000000000000000,24.000000000000000,1.000000000000000,0.000000000000000,0.500000000000000,0.000000000000000,1.333333333333333,2.000000000000000,0.333333333333333,4.877264499664308,102.156730651855469,49.912528991699219,1530.227539062500000,238.371307373046875,10248.957031250000000,,
Birmingham,52.479999999999997,-1.902500000000000,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,4.000000000000000,7.000000000000000,24.000000000000000,71.000000000000000,233.000000000000000,,0.000000000000000,0.000000000000000,1.000000000000000,34.500000000000000,0.000000000000000,6.000000000000000,5.818788051605226,194.889556884765625,71.849388122558594,2723.601806640625000,262.546936035156250,11793.366210937500000,0.000000,
Blackburn,53.747999999999998,-2.482000000000000,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,4.000000000000000,12.000000000000000,47.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,5.000000000000000,1.000000000000000,-0.500000000000000,3.667413473129272,186.200729370117188,19.322750091552734,551.032531738281250,78.420578002929673,2991.500732421875000,,
Blackpool,53.814200000000000,-3.050300000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,3.000000000000000,,,,,,,,2.337548971176147,28.983861923217773,15.170169830322266,437.671752929687500,52.271484375000000,2008.366333007812500,,
Bolton,53.578000000000003,-2.429000000000000,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,13.000000000000000,61.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,5.500000000000000,0.000000000000000,1.000000000000000,1.252079844474792,7.797895908355714,16.152881622314453,434.249481201171932,81.166084289550781,3116.954589843750000,,
Boston,52.973999999999997,-0.021400000000000,1.000000000000000,2.000000000000000,4.000000000000000,7.000000000000000,6.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,4.000000000000000,5.000000000000000,6.000000000000000,15.000000000000000,2.500000000000000,-0.714285714285714,0.000000000000000,0.000000000000000,2.000000000000000,-0.666666666666667,1.000000000000000,8.306762695312500,268.640777587890625,61.941764831542969,2663.162841796874545,254.278472900390625,10481.950195312500000,0.000000,
Bournemouth,50.719999999999999,-1.880000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5.000000000000000,,,,,,,,4.459920883178711,231.229370117187500,31.691270828247070,1262.374389648437500,130.482772827148438,7627.262207031250000,,
Brighton,50.842900000000000,-0.131300000000000,0.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,5.000000000000000,8.000000000000000,66.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,1.000000000000000,0.500000000000000,3.721058607101440,501.639282226562500,15.535716056823730,1085.450927734375000,104.626281738281250,7119.007812500000000,,
