city,latitude,longitude,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,pop1550,pop1600,pop1650,pop1700,pop1750,pop1800,pop1850,11to13,13to15,1500to1550,1550to1600,16to18,150pre,150post,lnInc201,netInc201,lnInc501,netInc501,lnInc1001,netInc1001,1
Derby,52.9167,-1.4667,0,1,1,1,1,2,2,1,2,3,6,11,43,0,1,0,-0.5,10,1,0.5,21.60575104,493.6405945,77.27157593,2141.418945,244.2132263,8174.841309,70.43532562
Doncaster,53.515,-1.133,1,1,1,2,1,1,1,2,2,2,3,6,12,1,-0.5,0,1,2,0,1,5.201687336,137.7608032,60.79333496,2132.371094,250.4480133,8710.936523,57.50418472
Dover,51.1295,1.3089,1,2,2,2,1,2,2,3,3,4,7,11,28,0,0,0,0.5,2.666666667,1,1,17.49320602,383.5006104,42.18890381,3054.296875,82.91981506,5727.539063,22.68043327
Dudley,52.508,-2.089,2,2,3,3,2,2,3,3,4,4,5,10,38,0.5,-0.333333333,0.5,0,2.333333333,0.5,0.333333333,7.668800831,231.741272,53.50482559,1847.0271,242.2689819,10928.36621,87.26145172
Durham,54.7761,-1.5733,1,1,2,2,1,3,2,2,1,1,3,8,13,1,0.5,-0.333333333,0,3,1,-0.5,11.33713722,1469.665039,29.75891113,1859.182861,96.44651031,4100.896973,20.84334564
Ellesmere,52.9082,-2.8944,0,1,1,2,1,1,1,2,2,2,2,3,7,1,-0.5,0,1,0.5,0,1,3.810491085,120.1295929,24.15073204,1316.274658,92.37807465,3872.041504,49.76117706
Ely,52.3981,0.2622,2,2,2,3,2,2,3,3,4,4,4,5,12,0.5,-0.333333333,0.5,0,0.666666667,0.5,0.333333333,13.89273643,1207.712402,73.67552948,4166.64502,271.7392273,13352.36816,18.60834885
Exeter,50.7167,-3.5333,3,4,5,6,4,7,8,9,11,14,16,17,39,0.5,0.166666667,0.142857143,0.125,0.888888889,1,0.75,14.08851719,378.3412781,31.35202408,1138.05835,106.0145645,5659.314941,31.47506523
Frome,51.2279,-2.3215,1,1,1,1,1,1,1,1,1,1,3,9,12,0,0,0,0,8,0,0,12.47524261,568.40802,66.12031555,4865.250488,206.1776581,14021.30957,49.83024597
Gateshead,54.95,-1.6,1,1,1,2,1,1,1,2,2,2,4,9,26,1,-0.5,0,1,3.5,0,1,10.87231445,205.0968781,33.94514465,1696.199219,78.65116882,3205.800781,20.7780056
Gillingham,51.385,0.55,0,1,1,1,1,1,1,1,1,1,2,5,8,0,0,0,0,4,0,0,11.56470203,704.6088257,48.91054153,2788.812256,222.5048676,17894.38867,161.9104156
Gillingham,51.0375,-2.2748,0,1,1,1,1,1,1,1,1,1,2,5,8,0,0,0,0,4,0,0,6.391848087,222.0873413,61.24348831,4372.149414,197.052948,13011.60645,45.73300552
Gosport,50.7948,-1.1243,0,0,0,0,0,0,0,0,1,1,3,8,7,,,,,,,,9.769235611,384.0961304,41.2252121,2043.715088,120.1987534,6231.321777,32.63014221
Gravesend,51.4415,0.3685,0,0,0,1,1,1,1,2,2,2,2,2,17,,0,0,1,0,0,1,6.411281109,443.2833862,71.14252472,5904.63916,256.5991516,21080.3457,198.5195007
Great Yarmouth,52.606,1.729,0,0,1,2,1,4,6,8,9,10,10,17,31,,1,0.5,0.333333333,1.125,5,0.666666667,7.875140667,141.1643829,45.7251358,1444.972412,124.8281937,3939.845947,36.78258896
Grimsby,53.5595,-0.068,1,1,1,1,1,1,1,1,1,1,1,2,9,0,0,0,0,1,0,0,12.6142807,178.4790039,64.829422,1668.539917,199.5590973,6008.212891,15.30104065
Guildford,51.2365,-0.5703,0,1,1,1,1,1,1,1,1,1,2,3,7,0,0,0,0,2,0,0,10.86571503,531.7022705,56.06848526,3812.749512,247.3234253,20181.16992,163.5697174
Halifax,53.725,-1.863,0,0,1,1,1,2,2,2,3,3,6,12,34,,1,0,0,5,1,0.5,2.209929705,14.79121304,26.79894257,907.2269287,144.1514282,5793.461914,69.09603119
Hartlepool,54.69,-1.21,0,0,0,0,0,0,0,0,0,1,1,1,10,,,,,,,,1.169099092,8.074730873,24.19550705,1490.681885,107.7685547,4740.16748,22.0263176
Haslingden,53.705,-2.328,0,0,0,0,0,0,0,0,1,1,2,6,8,,,,,,,,1.246928573,69.35253906,15.25332928,452.3938293,89.86893463,3480.800293,61.51514435
