city,latitude,longitude,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,pop1550,pop1600,pop1650,pop1700,pop1750,pop1800,pop1850,11to13,13to15,1500to1550,1550to1600,16to18,150pre,150post,lnInc20km1
Barnsley,53.553699999999999,-1.479100000000000,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,4.000000000000000,13.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,8.98693084716797
Bath,51.380000000000003,-2.360000000000000,1.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,10.000000000000000,33.000000000000000,54.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,15.500000000000000,1.000000000000000,0.500000000000000,18.9026298522949
Beverley,53.844999999999999,-0.427000000000000,1.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,4.000000000000000,6.000000000000000,9.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,1.000000000000000,0.500000000000000,22.2239532470703
Bilston,52.566000000000003,-2.072800000000000,1.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,3.000000000000000,4.000000000000000,5.000000000000000,7.000000000000000,24.000000000000000,1.000000000000000,0.000000000000000,0.500000000000000,0.000000000000000,1.333333333333333,2.000000000000000,0.333333333333333,4.96067428588867
Birmingham,52.479999999999997,-1.902500000000000,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,4.000000000000000,7.000000000000000,24.000000000000000,71.000000000000000,233.000000000000000,,0.000000000000000,0.000000000000000,1.000000000000000,34.500000000000000,0.000000000000000,6.000000000000000,5.65947341918945
Blackburn,53.747999999999998,-2.482000000000000,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,4.000000000000000,12.000000000000000,47.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,5.000000000000000,1.000000000000000,-0.500000000000000,4.02767896652222
Blackpool,53.814200000000000,-3.050300000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,3.000000000000000,,,,,,,,2.48044633865356
Bolton,53.578000000000003,-2.429000000000000,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,13.000000000000000,61.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,5.500000000000000,0.000000000000000,1.000000000000000,1.1982034444809
Boston,52.973999999999997,-0.021400000000000,1.000000000000000,2.000000000000000,4.000000000000000,7.000000000000000,6.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,4.000000000000000,5.000000000000000,6.000000000000000,15.000000000000000,2.500000000000000,-0.714285714285714,0.000000000000000,0.000000000000000,2.000000000000000,-0.666666666666667,1.000000000000000,8.25277328491211
Bournemouth,50.719999999999999,-1.880000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5.000000000000000,,,,,,,,4.21067571640015
Brighton,50.842900000000000,-0.131300000000000,0.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,5.000000000000000,8.000000000000000,66.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,1.000000000000000,0.500000000000000,3.73465418815613
Bristol,51.450000000000003,-2.583300000000000,1.000000000000000,2.000000000000000,3.000000000000000,11.000000000000000,10.000000000000000,10.000000000000000,11.000000000000000,12.000000000000000,15.000000000000000,20.000000000000000,50.000000000000000,64.000000000000000,137.000000000000000,4.500000000000000,-0.090909090909091,0.100000000000000,0.090909090909091,4.333333333333333,0.100000000000000,0.818181818181818,20.6522312164307
Bromsgrove,52.335299999999997,-2.057900000000000,1.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,3.000000000000000,3.000000000000000,4.000000000000000,6.000000000000000,10.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,1.000000000000000,0.500000000000000,13.813720703125
Burnley,53.789000000000001,-2.248000000000000,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,5.000000000000000,25.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,3.81373119354248
