id_1,id_2,id_3,obs_num,linked,year,county_city,parish,township,area,arable_area,pasture_area,meadow_area,garden_area,orchard_area,wood_area,ozier_area,hops_area,fen_area,marsh_area,houses,cottages,barns,farm_buildings,rent,rent_type,tenantes,lease_yrs,fine,annual_rent,price,burdens,return_pct,net_price,tenure,tithe_share,tithe_amount,land_tax_share,rent_valuation,annual_rental_value,annual_rental_value_tithe_free,share_clear_of_deductions,repair_payer,tithe_payer,rate_payer,local_rates,land_tax_payer,land_tax_amount,drainage_tax_payer,drainage_tax_amount,commons_area,lammas_area,commons_arable_area,commons_pasture_area,commons_meadow_area,commons_waste_area,beast_gates,sheep_gates,unspecified_common_rights,last_enclosure,enclosure_type,commons_unspecified_area,enclosed_common_area,enclosed_common_waste_area,parish_allotment,source,fccr_vol,fccr_page,county_city,parish_township,charity,notes,,,
280,165,2,0,L,1529,WA,COVENTRY,,19.01,,,,,,0,0,0,0,0,1,0,,,2.4,C,1,,,2.4,,,5,,,,,,,2.4,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,28,165,,,,,,,
280,165,3,0,L,1529,WA,FOLESHILL,,5.05,0,0,5.05,0,0,0,0,0,0,0,0,0,0,N,0.4,C,1,,,0.4,,,5,,,,,,,0.4,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,28,165,,,,,,,
280,165,4,0,,1529,WA,BUBBENHALL,,38,34,0,4,0,0,0,0,0,0,0,1,0,1,Y,1.4,C,1,,,1.4,,,5,,,,,,,1.4,,1,,,T,,,,,,38,0,34,0,4,0,0,0,0,,,0,0,0,,CCI,28,165,,,,customary measure?,,,
280,165,5,0,,1529,WA,BUBBENHALL,,34,30,0,4,0,0,0,0,0,0,0,1,0,1,Y,0.6,C,1,,,0.6,,,5,,,,,,,0.6,,1,,,T,,,,,,34,0,30,0,4,0,0,0,0,,,0,0,0,,CCI,28,165,,,,customary measure?,,,
280,165,6,0,,1529,WA,BUBBENHALL,,9,8,0,1,0,0,0,0,0,0,0,1,0,1,Y,0.9,C,1,,,0.9,,,5,,,,,,,0.9,,1,,,T,,,,,,9,0,8,0,1,0,0,0,0,,,0,0,0,,CCI,28,165,,,,customary measure?,,,
280,165,7,0,,1529,WA,BUBBENHALL,,18.5,18,0,0.5,0,0,0,0,0,0,0,1,0,1,Y,0.67,C,1,,,0.67,,,5,,,,,,,0.67,,1,,,T,,,,,,18.5,0,18,0,0.5,0,0,0,0,,,0,0,0,,CCI,28,165,,,,customary measure?,,,
280,165,8,0,L,1529,WA,MERIDEN,,46.56,,,,,,0,0,0,0,0,1,0,1,Y,2.33,C,1,,,2.33,,,5,,,,,,15,2.33,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,28,165,,,,,,,
20,161,1,1,L,1532,SX,LAUGHTON,,116,,,,,,0,0,0,0,0,0,0,0,N,6.5,V,,,,6.5,,,5,,,,,,,6.5,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,2,161,SX,CUCKFIELD,FREE SCHOOL,AVE AREA CCI2 AND CCI30,,,
210,531,1,0,U,1536,SF,DENNINGTON,,,,,,,,0,0,0,0,0,0,0,0,N,0.12,C,1,,,0.12,,,5,,,,,,,0.12,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,21,531,SF,DENNINGTON,BELL ACRE,,,,
280,172,1,0,L,1542,WA,COVENTRY,,1188.46,,,,,,0,0,0,0,0,,,,,70,V,,,,70,1400,,5,1400,F,,,,,70.98,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,28,172,,,,,,,
