guy,total,name,county,firstName,lastName,place
Anthony Irby auditor there,650.0,Spalding Priory,LINCOLNSHIRE,Anthony,Irby,
John Bolles receiver,800.0,Spalding Priory,LINCOLNSHIRE,John,Bolles,
Nicholas Wolryche bailiff of pensions and portions,240.0,Spalding Priory,LINCOLNSHIRE,Nicholas,Wolryche,
Alex Elyot bailiff there,240.0,Vaudey Abbey,LINCOLNSHIRE,Alex,Elyot,
Henry Lacy steward there,80.0,Vaudey Abbey,LINCOLNSHIRE,Henry,Lacy,
Richard Michilson bailiff there,160.0,Vaudey Abbey,LINCOLNSHIRE,Richard,Michilson,
William Wynell bailiff there,240.0,Vaudey Abbey,LINCOLNSHIRE,William,Wynell,
Simon Burne bailiff there,240.0,Vaudey Abbey,LINCOLNSHIRE,Simon,Burne,
Henry Lacy steward there,80.0,Vaudey Abbey,LINCOLNSHIRE,Henry,Lacy,
Peter Simon bailiff there,320.0,Vaudey Abbey,LINCOLNSHIRE,Peter,Simon,
Henry Lacy steward there,80.0,Vaudey Abbey,LINCOLNSHIRE,Henry,Lacy,
John Todde bailiff there,240.0,Vaudey Abbey,LINCOLNSHIRE,John,Todde,
Henry Lacy steward there,80.0,Vaudey Abbey,LINCOLNSHIRE,Henry,Lacy,
John Hykson bailiff there,240.0,Vaudey Abbey,LINCOLNSHIRE,John,Hykson,
Henry Lacy steward there,80.0,Vaudey Abbey,LINCOLNSHIRE,Henry,Lacy,
Henry Clay bailiff there,480.0,Vaudey Abbey,LINCOLNSHIRE,Henry,Clay,
John Russell chief steward ,960.0,Vaudey Abbey,LINCOLNSHIRE,John,Russell,
Thomas Jakson steward of the hall there,320.0,Vaudey Abbey,LINCOLNSHIRE,Thomas,Jakson,
Lord Husey steward of Haubeke,240.0,Vaudey Abbey,LINCOLNSHIRE,Lord,Husey,Haubeke
Richard Ogle steward of Pynchbeke,240.0,Vaudey Abbey,LINCOLNSHIRE,Richard,Ogle,Pynchbeke
Anthony Myssenden steward of court in Rutland,240.0,Vaudey Abbey,LINCOLNSHIRE,Anthony,Myssenden,Rutland
Henry Lacy auditor,480.0,Vaudey Abbey,LINCOLNSHIRE,Henry,Lacy,
John Husey chief steward,720.0,Sempringham Priory,LINCOLNSHIRE,John,Husey,
John Comb'worthy bailiff,480.0,Sempringham Priory,LINCOLNSHIRE,John,Comb'worthy,
Robert Roberts bailiff of Woodgrange and Kyrkby,320.0,Sempringham Priory,LINCOLNSHIRE,Robert,Roberts,Woodgrange
Richard Roberts bailiff of Repyngale,40.0,Sempringham Priory,LINCOLNSHIRE,Richard,Roberts,Repyngale
Thomas Gee bailiff of Brodertofte,240.0,Sempringham Priory,LINCOLNSHIRE,Thomas,Gee,Brodertofte
Thomas Hodgen bailiff of Ketton,80.0,Sempringham Priory,LINCOLNSHIRE,Thomas,Hodgen,Ketton
Bartholomew Storer bailiff of Thurmastone,80.0,Sempringham Priory,LINCOLNSHIRE,Bartholomew,Storer,Thurmastone
Robert Butterworthe bailiff of Brancot Corewell and Chynwell,160.0,Sempringham Priory,LINCOLNSHIRE,Robert,Butterworthe,Brancot
Gervase Yngoldesby steward at Billesfeld,80.0,Sempringham Priory,LINCOLNSHIRE,Gervase,Yngoldesby,Billesfeld
John Comb'worthe bailiff there,320.0,Sempringham Priory,LINCOLNSHIRE,John,Comb'worthe,
John Husy steward,320.0,Bourne Abbey,LINCOLNSHIRE,John,Husy,
Reginald Reyns bailiff of Burne,480.0,Bourne Abbey,LINCOLNSHIRE,Reginald,Reyns,Burne
John Frankysshe steward of Kyrkby,160.0,Bourne Abbey,LINCOLNSHIRE,John,Frankysshe,Kyrkby
Thomas Dobulday bailiff of Willesford,240.0,Bourne Abbey,LINCOLNSHIRE,Thomas,Dobulday,Willesford
Henry Lacy steward,240.0,"Newstead Priory, Lincolnshire",LINCOLNSHIRE,Henry,Lacy,
Robert Clerke bailiff,160.0,"Newstead Priory, Lincolnshire",LINCOLNSHIRE,Robert,Clerke,
William Walt' bailiff of Gaunthame Braunston and others,320.0,"Newstead Priory, Lincolnshire",LINCOLNSHIRE,William,Walt',Gaunthame
Count of Rutland steward of the monastery,480.0,Newbo Abbey,LINCOLNSHIRE,Count,of,Rutland
Robert Turner bailiff of Lincoln and Fillynghame,40.0,Newbo Abbey,LINCOLNSHIRE,Robert,Turner,Lincoln
Richard Blake bailiff of Donyngton Quadrige Roppesley Dunsby Brauncewell Gaunthame Belton Somerby Barroby Dodyngton Westburghe and other,320.0,Newbo Abbey,LINCOLNSHIRE,Richard,Blake,Donyngton
Nicholas Lowson bailiff of Denton Alyngton Segbroke Kneton etc,240.0,Newbo Abbey,LINCOLNSHIRE,Nicholas,Lowson,Denton
Robert Turwhyt steward,320.0,Kyme Priory,LINCOLNSHIRE,Robert,Turwhyt,
Richard Alenby bailiff of Inmynghame,160.0,Kyme Priory,LINCOLNSHIRE,Richard,Alenby,Inmynghame
Peter Newsame bailiff of Kyme,320.0,Kyme Priory,LINCOLNSHIRE,Peter,Newsame,Kyme
William Vawsor bailiff of Waynflet,160.0,Kyme Priory,LINCOLNSHIRE,William,Vawsor,Waynflet
Lord Husy chief steward,360.0,Haverholme Priory,LINCOLNSHIRE,Lord,Husy,
Robert Gotte bailiff in Lincoln,320.0,Haverholme Priory,LINCOLNSHIRE,Robert,Gotte,Lincoln
John Makhame steward in Notts,320.0,Haverholme Priory,LINCOLNSHIRE,John,Makhame,Notts
Richard Wyndbanke bailiff in Notts,320.0,Haverholme Priory,LINCOLNSHIRE,Richard,Wyndbanke,Notts
John Beron steward and bailiff in Leics,320.0,Haverholme Priory,LINCOLNSHIRE,John,Beron,Leics
Robert Husy chief steward,320.0,Catley Priory,LINCOLNSHIRE,Robert,Husy,
Robert Thurlebeke bailiff,320.0,Catley Priory,LINCOLNSHIRE,Robert,Thurlebeke,
Humphrey Walcot steward ,276.0,Nocton Priory,LINCOLNSHIRE,Humphrey,Walcot,
Simon Stagge bailiff,160.0,Nocton Priory,LINCOLNSHIRE,Simon,Stagge,
John Husy chief steward,480.0,Barlings Abbey,LINCOLNSHIRE,John,Husy,
Richard Ogle steward in Swayton,240.0,Barlings Abbey,LINCOLNSHIRE,Richard,Ogle,Swayton
Anthony Eyrby auditor,240.0,Barlings Abbey,LINCOLNSHIRE,Anthony,Eyrby,
John Makarell receiver,480.0,Barlings Abbey,LINCOLNSHIRE,John,Makarell,
William Midylton bailiff of Swayton,480.0,Barlings Abbey,LINCOLNSHIRE,William,Midylton,Swayton
Thomas Padley bailiff of Caynby and Glentham,240.0,Barlings Abbey,LINCOLNSHIRE,Thomas,Padley,Caynby
Thomas Dymoke bailiff of Northcarlton,240.0,Barlings Abbey,LINCOLNSHIRE,Thomas,Dymoke,Northcarlton
Thomas Kyrton bailiff of Scothorn,240.0,Barlings Abbey,LINCOLNSHIRE,Thomas,Kyrton,Scothorn
Thomas Smythe bailiff of Walmesgar and Carleton in the marsh,120.0,Barlings Abbey,LINCOLNSHIRE,Thomas,Smythe,Walmesgar
George Skynn' bailiff of Lincoln,80.0,Barlings Abbey,LINCOLNSHIRE,George,Skynn',Lincoln
John Hannew bailiff of Repham and Rysome,120.0,Barlings Abbey,LINCOLNSHIRE,John,Hannew,Repham
Jacob Letten bailiff of Sutton Scapwyk Medringham Armeston Boythby and Coysby,120.0,Barlings Abbey,LINCOLNSHIRE,Jacob,Letten,Sutton
Thomas Mydylton bailiff of Barlyngs Upton Yngham Manton Manflet and Snelland,240.0,Barlings Abbey,LINCOLNSHIRE,Thomas,Mydylton,Barlyngs
Mathew Ydyle bailiff of Newbell and Langwathe,60.0,Barlings Abbey,LINCOLNSHIRE,Mathew,Ydyle,Newbell
Henry Lamkyn bailiff,120.0,Fosse Priory,LINCOLNSHIRE,Henry,Lamkyn,
William Dalyson chief steward,240.0,Heynings Priory,LINCOLNSHIRE,William,Dalyson,
Robert Dobeggyng bailiff in Styrton Stowe etc,320.0,Heynings Priory,LINCOLNSHIRE,Robert,Dobeggyng,Styrton
John Woddos bailiff of Wylm'sley in York,160.0,Heynings Priory,LINCOLNSHIRE,John,Woddos,Wylm
John Porte chief steward,480.0,Axholme Charterhouse,LINCOLNSHIRE,John,Porte,
Thomas Porter receiver and bailiff,1280.0,Axholme Charterhouse,LINCOLNSHIRE,Thomas,Porter,
Henry Aynesworth auditor,320.0,Axholme Charterhouse,LINCOLNSHIRE,Henry,Aynesworth,
John Beamonde receiver,240.0,Axholme Charterhouse,LINCOLNSHIRE,John,Beamonde,
William Dalyson steward there,160.0,Axholme Charterhouse,LINCOLNSHIRE,William,Dalyson,
John Sheirs bailiff there,320.0,Axholme Charterhouse,LINCOLNSHIRE,John,Sheirs,
Lord Burgh chief steward,480.0,Willoughton Preceptory,LINCOLNSHIRE,Lord,Burgh,
Hugh Grantham auditor,480.0,Willoughton Preceptory,LINCOLNSHIRE,Hugh,Grantham,
Nicholas Sutton receiver,1440.0,Willoughton Preceptory,LINCOLNSHIRE,Nicholas,Sutton,
Robert Robynson bailiff of Willoughton Thorp in the Fallows Bottisford and Horkestowe,800.0,Willoughton Preceptory,LINCOLNSHIRE,Robert,Robynson,Willoughton
George Thomson bailiff of Lymber,240.0,Willoughton Preceptory,LINCOLNSHIRE,George,Thomson,Lymber
John Clerke bailiff of Theilby,240.0,Willoughton Preceptory,LINCOLNSHIRE,John,Clerke,Theilby
John Sont bailiff of Golsby,240.0,Willoughton Preceptory,LINCOLNSHIRE,John,Sont,Golsby
John Smith bailiff of Harby,320.0,Willoughton Preceptory,LINCOLNSHIRE,John,Smith,Harby
William Dalyson auditor,240.0,Thornholme Priory,LINCOLNSHIRE,William,Dalyson,
Richard Freston chief steward,480.0,Thornholme Priory,LINCOLNSHIRE,Richard,Freston,
William Anderson receiver,240.0,Thornholme Priory,LINCOLNSHIRE,William,Anderson,
William Thorp bailiff in Fereby etc,320.0,Thornholme Priory,LINCOLNSHIRE,William,Thorp,Fereby
Edward Lee bailiff of Appulby Sancton Rysby Messyngham etc,640.0,Thornholme Priory,LINCOLNSHIRE,Edward,Lee,Appulby
Thomas Hurre bailiff of Scalby Hyboldstowe Cletham etc,80.0,Thornholme Priory,LINCOLNSHIRE,Thomas,Hurre,Scalby
William Tyrwith chief steward,240.0,Gokewell Priory,LINCOLNSHIRE,William,Tyrwith,
John Smythe bailiff,240.0,Gokewell Priory,LINCOLNSHIRE,John,Smythe,
