name,order,landIncMean,titheIncMean,millIncMean,feeIncMean,almsIncMean,infraIncMean,transferIncMean,courtIncMean,annuityIncMean,educationIncMean,synProxIncMean,glebeIncMean,woodIncMean,unknownIncMean,landExpMean,titheExpMean,millExpMean,feeExpMean,almsExpMean,infraExpMean,transferExpMean,courtExpMean,annuityExpMean,educationExpMean,synProxExpMean,glebeExpMean,woodExpMean,unknownExpMean,year,region,totalInc,totalExp,netInc,depHouse,latitude,longitude,incomplete,landIncSum,titheIncSum,millIncSum,feeIncSum,almsIncSum,infraIncSum,transferIncSum,courtIncSum,annuityIncSum,educationIncSum,synProxIncSum,glebeIncSum,woodIncSum,unknownIncSum,landExpSum,titheExpSum,millExpSum,feeExpSum,almsExpSum,infraExpSum,transferExpSum,courtExpSum,annuityExpSum,educationExpSum,synProxExpSum,glebeExpSum,woodExpSum,unknownExpSum
Baddesley Preceptory,Augustinian,,,,,,,,,,,,,,31609.0,-1490.0,,,-1600.0,,,,,,,,,,,1540.0,3.0,31609.0,-3090.0,28519.0,,50.985876,-1.422873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31609.0,-1490.0,0.0,0.0,-1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barking Abbey,Benedictine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.0,2.0,,,207029.5,,51.535706,0.075159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barlings Abbey,Premonstratensian,2945.4285714285716,1584.0,,,,,,,,,,,1920.0,1092.0,-69.5,,,-241.42857142857142,-1031.3333333333333,,-360.5833333333333,,,,-308.5,,,-492.375,1537.0,4.0,73877.0,-15726.5,58149.5,,53.247899999999994,-0.3685,0.0,61854.0,7920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,2184.0,-973.0,0.0,0.0,-3380.0,-6188.0,0.0,-2163.5,0.0,0.0,0.0,-308.5,0.0,0.0,-1969.5
Barnstaple,Benedictine,4648.8,1080.0,2400.0,,,,710.0,840.5,,,,,,,-24.0,,,-304.0,,,,,,,,,,-6.0,1536.0,3.0,,,29599.0,,51.088473,-4.062436,0.0,23244.0,1080.0,2400.0,0.0,0.0,0.0,2840.0,1681.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,0.0,0.0,-1520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
Barnwell Priory,Augustinian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1538.0,1.0,,,61573.25,,52.209027,0.13852,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barrow Gurney Nunnery,Benedictine,1015.2,1600.0,,,,,,,,,,,,499.5,-39.0,,,-150.0,,,-960.0,,,,-90.75,,,,1536.0,3.0,7040.5,-1348.75,5691.75,,51.4073,-2.6748,0.0,5076.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.5,-156.0,0.0,0.0,-300.0,0.0,0.0,-960.0,0.0,0.0,0.0,-90.75,0.0,0.0,0.0
Battisford Preceptory,Augustinian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540.0,1.0,,,12674.0,,52.148965,0.989523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battle Abbey,Benedictine,2920.2298387096776,2494.4,853.3333333333334,,,,511.2,,,,,,,1573.3333333333333,-272.0,,-6.0,-713.625,-1234.0,,-1002.1818181818181,,,,-66.83333333333333,,,,1538.0,3.0,236890.25,-25514.5,211375.75,,50.914503,0.48773,0.0,181054.25,24944.0,2560.0,0.0,0.0,0.0,5112.0,0.0,0.0,0.0,0.0,0.0,0.0,4720.0,-1632.0,0.0,-6.0,-11418.0,-1234.0,0.0,-11024.0,0.0,0.0,0.0,-200.5,0.0,0.0,0.0
Beauvale Charterhouse,Carthusian,1740.3333333333333,3612.5,,,,,160.0,,,,,,,4320.0,-280.0,,,-360.0,,,-531.4285714285714,,,,-83.0,,,-173.33333333333334,1539.0,4.0,54576.0,,47112.0,,53.036477999999995,-1.267416,0.0,31326.0,14450.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,8640.0,-280.0,0.0,0.0,-1440.0,0.0,0.0,-3720.0,0.0,0.0,0.0,-332.0,0.0,0.0,-520.0
Beeston Priory,Augustinian,1274.734375,,,,,,,472.75,,,,,,,-23.428571428571427,,,-205.0,-640.0,,-80.0,,,,,,,-12.0,1539.0,1.0,12076.625,-1728.0,10348.625,,52.938772,1.224176,0.0,10197.875,0.0,0.0,0.0,0.0,0.0,0.0,1891.0,0.0,0.0,0.0,0.0,0.0,0.0,-164.0,0.0,0.0,-820.0,-640.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0
Bermondsey Abbey Cluniacs,Benedictine,5143.529411764706,1647.8392857142858,960.0,,,,560.6153846153846,137.14285714285714,,,,,522.0,960.0,-962.2,,,-542.8571428571429,-493.7142857142857,,,,,,-170.75,,,-48.0,1538.0,2.0,131549.75,-17617.0,113932.75,,51.49691,-0.079638,0.0,87440.0,23069.75,1920.0,0.0,0.0,0.0,7288.0,960.0,0.0,0.0,0.0,0.0,2088.0,960.0,-9622.0,0.0,0.0,-3800.0,-3456.0,0.0,0.0,0.0,0.0,0.0,-683.0,0.0,0.0,-48.0
Beverley Preceptory,Augustinian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540.0,5.0,,,39478.0,,53.842641,-0.422826,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bilsington Priory,Augustinian,5162.0,,,,,,,,,,,,,,-27.333333333333332,,,-583.0,-240.0,-4452.0,-676.4375,,,,,,,,1536.0,2.0,29288.0,-9829.75,19458.0,,51.082611,0.915936,0.0,20648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,0.0,-2332.0,-240.0,-4452.0,-2705.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bindon Abbey,Cistercian,1786.3636363636363,1417.7142857142858,,,,,480.0,324.75,,,,560.0,560.0,135.5,-1002.0,,,-480.0,-100.0,,-454.0,,-640.0,,-118.66666666666667,,,-6400.0,1539.0,3.0,,,35373.5,1.0,50.680561,-2.218085,0.0,39300.0,9924.0,0.0,0.0,0.0,0.0,480.0,1623.75,0.0,0.0,0.0,1120.0,560.0,271.0,-7014.0,0.0,0.0,-1920.0,-200.0,0.0,-2270.0,0.0,-640.0,0.0,-356.0,0.0,0.0,-6400.0
Binham Priory,Benedictine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.0,1.0,,,33664.0,1.0,52.920148,0.94684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blanchland Abbey,Premonstratensian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.0,5.0,,,9708.0,1.0,54.848211,-2.055905,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bourne Abbey,Augustinian,1765.4166666666667,2976.6666666666665,,,,,132.0,,,,,,,320.0,-90.6875,,,-300.0,,,-930.8,,,,-610.0,,,-48.0,1536.0,4.0,47489.25,-7234.75,40254.5,,52.76632200000001,-0.37555600000000006,0.0,26481.25,17860.0,0.0,0.0,0.0,0.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,-362.75,0.0,0.0,-1200.0,0.0,0.0,-4654.0,0.0,0.0,0.0,-610.0,0.0,0.0,-48.0
Boxgrove Priory,Benedictine,825.8518518518518,2666.6666666666665,,,,,1600.0,,,,,,,220.0,-167.0,,,-280.0,-908.5,,-1496.0,,,,-178.0,,,,1536.0,3.0,44636.0,-9713.5,34922.5,,50.860475,-0.711051,0.0,22298.0,16000.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,-2004.0,0.0,0.0,-560.0,-908.5,0.0,-5984.0,0.0,0.0,0.0,-178.0,0.0,0.0,0.0
Bradenstoke Priory,Augustinian,871.9411764705883,1017.6,,,,,,100.0,,,,,,360.0,-107.33333333333333,,,-424.0,-3180.0,,-1904.0,,,,-269.0,,,-106.0,1539.0,3.0,64928.0,-13817.0,51111.0,,51.512222,-2.003611,0.0,59292.0,5088.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,360.0,-644.0,0.0,0.0,-4240.0,-3180.0,0.0,-5712.0,0.0,0.0,0.0,-269.0,0.0,0.0,-212.0
Bradley Priory,Augustinian,965.4,160.0,,,,,,,,,,,,,-49.0,,,,,,,,,,,,,,1536.0,4.0,4987.0,-147.0,4840.0,,52.550455,-0.787116,0.0,4827.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breadsall Priory,Augustinian,308.0,1280.0,,,,,,,,,,,,,-80.0,,,-320.0,,,,,,,,,,,1536.0,4.0,,,2613.0,,52.96876699999999,-1.435672,0.0,1848.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,-320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breedon Priory,Augustinian,328.0,582.8571428571429,,,,,,,,,,,,705.0,,,,-80.0,,,,,,,-133.0,,,,1539.0,4.0,,,5884.0,,52.806089,-1.399961,0.0,1312.0,4080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,-133.0,0.0,0.0,0.0
Bromholm Priory,Benedictine,927.5909090909091,665.3095238095239,,,,,,232.84375,,,,,647.5,288.5,-1224.9285714285713,,,-305.0,,,-590.0,,,,-168.0,,,-25.5,1536.0,1.0,37189.25,-13126.0,24063.25,,52.844479,1.487463,0.0,20407.0,13971.5,0.0,0.0,0.0,0.0,0.0,1862.75,0.0,0.0,0.0,0.0,647.5,288.5,-8574.5,0.0,0.0,-1830.0,0.0,0.0,-2360.0,0.0,0.0,0.0,-336.0,0.0,0.0,-25.5
Bruern Abbey,Cistercian,1085.5,160.0,240.0,,,,,,,,,,144.0,,-176.0,,,-546.6666666666666,,,,,,,-80.0,,,,1536.0,2.0,36766.0,-4624.0,32290.0,1.0,51.867,-1.636,0.0,36907.0,160.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,-1056.0,0.0,0.0,-3280.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0
Bruisyard Abbey,Franciscan,1067.0384615384614,1321.6666666666667,,,,,,8.0,,,,,,,-89.95,,,-413.3333333333333,-24.0,,-126.28571428571429,,,,-92.0,,,,1539.0,1.0,,,13465.0,,52.244456,1.4174670000000003,0.0,13871.5,3965.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-1799.0,0.0,0.0,-2480.0,-24.0,0.0,-884.0,0.0,0.0,0.0,-92.0,0.0,0.0,0.0
Bruton Abbey,Augustinian,4332.65625,3785.4545454545455,,,,,184.0,387.1111111111111,,,,,480.0,765.0,-172.0,,,-416.94117647058823,-3920.0,,-1150.0,,,,-289.25,,,-16.0,1539.0,3.0,115406.0,-9966.0,105440.0,,51.111113,-2.45184,0.0,69322.5,41640.0,0.0,0.0,0.0,0.0,1104.0,3484.0,0.0,0.0,0.0,0.0,480.0,6120.0,-516.0,0.0,0.0,-7088.0,-3920.0,0.0,-9200.0,0.0,0.0,0.0,-1157.0,0.0,0.0,-32.0
Buckfast Abbey,Cistercian,2131.412162162162,4998.333333333333,731.4285714285714,,,,299.2,741.7692307692307,,,,,,544.9166666666666,-360.0,,-24.0,-341.3333333333333,,,-1653.3333333333333,,-720.0,,,,,,1538.0,3.0,,,111973.75,1.0,50.49298399999999,-3.775765,0.0,78862.25,14995.0,5120.0,0.0,0.0,0.0,1496.0,9643.0,0.0,0.0,0.0,0.0,0.0,1634.75,-360.0,0.0,-24.0,-3072.0,0.0,0.0,-4960.0,0.0,-720.0,0.0,0.0,0.0,0.0,0.0
Burnham Abbey,Augustinian,1800.1666666666667,1528.0,160.0,,,,,486.0,,,,,,240.0,-204.3125,,-176.0,-432.0,-1120.0,,-1080.0,,,,-116.625,,,,1539.0,2.0,21911.5,-9643.25,12269.25,,51.515594,-0.660624,0.0,16201.5,4584.0,160.0,0.0,0.0,0.0,0.0,486.0,0.0,0.0,0.0,0.0,0.0,480.0,-1634.5,0.0,-176.0,-2160.0,-1120.0,0.0,-4320.0,0.0,0.0,0.0,-233.25,0.0,0.0,0.0
Burtle Moor,Augustinian,732.0,80.0,,,,,,,,,,,,,-2.0,,,-40.0,,,,,,,,,,,1536.0,3.0,,,1502.0,,51.1713,-2.8729999999999998,0.0,1464.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Byland Abbey,Cistercian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.0,5.0,70864.0,-13632.0,57232.0,,54.203499,-1.158693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caldwell Priory,Augustinian,476.7567567567568,2255.0,,,,,,,,,,,24.0,,,,,-501.6666666666667,,,-573.5,,,,-176.25,,,,1536.0,2.0,35710.0,-9449.0,26261.0,,52.12944,-0.4764900000000001,0.0,17640.0,18040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,-3010.0,0.0,0.0,-5735.0,0.0,0.0,0.0,-705.0,0.0,0.0,0.0
Canterbury Cathedral Priory,Benedictine,3280.6348484848486,4775.535714285715,1640.0,,,,1209.142857142857,101.125,,,,,491.77777777777777,4627.15,-109.95238095238095,,,-711.9214285714286,-1236.15625,,-961.0,-64.0,-480.0,,-86.66666666666667,,,-341.1333333333333,1539.0,2.0,,,563861.125,,51.279722,1.083056,0.0,541304.75,66857.5,6560.0,0.0,0.0,0.0,8464.0,2427.0,0.0,0.0,0.0,0.0,8852.0,69407.25,-2309.0,0.0,0.0,-49834.5,-19778.5,0.0,-31713.0,-128.0,-480.0,0.0,-260.0,0.0,0.0,-10234.0
Carrow Abbey,Benedictine,1963.392857142857,802.9285714285714,,,,,280.0,170.5,,,,,,,-30.625,,,-325.0,,,-770.0,,,,,,,,1538.0,1.0,20305.75,-4747.5,15558.25,,52.617999999999995,1.310806,0.0,13743.75,5620.5,0.0,0.0,0.0,0.0,280.0,170.5,0.0,0.0,0.0,0.0,0.0,0.0,-367.5,0.0,0.0,-1300.0,0.0,0.0,-3080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartmel Priory,Augustinian,4530.75,3140.0,1440.0,,,,,,,,,,,,,,,-480.0,,,-400.0,,,,,,,-1440.0,1536.0,5.0,27595.0,,19035.0,,54.201107,-2.951892,0.0,18123.0,6280.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2400.0,0.0,0.0,-800.0,0.0,0.0,0.0,0.0,0.0,0.0,-1440.0
Castle Acre Priory,Benedictine,3229.21875,991.3333333333334,2640.0,,,,749.8947368421053,120.0,,,,,680.0,,-220.375,,,-380.0,,,-569.3333333333334,,,,-65.83333333333333,,,-18.0,1537.0,1.0,80369.75,-6793.0,73576.75,,52.700666,0.683798,0.0,25833.75,35688.0,2640.0,0.0,0.0,0.0,14248.0,600.0,0.0,0.0,0.0,0.0,1360.0,0.0,-881.5,0.0,0.0,-2280.0,0.0,0.0,-3416.0,0.0,0.0,0.0,-197.5,0.0,0.0,-18.0
Charterhouse London,Carthusian,24424.0,5279.0,,,,,,,,,,,,2880.0,-342.8142857142857,,,-240.0,-1228.0,,-3040.0,,,,,,,,1537.0,2.0,176671.0,-22586.5,154084.5,,51.521372,-0.100136,0.0,122120.0,47511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,-11998.5,0.0,0.0,-240.0,-1228.0,0.0,-9120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicksands Priory,Gilbertine,1280.3181818181818,2272.0,,,,,,400.0,,,,,,660.0,-57.57142857142857,,,-260.0,,,-262.2857142857143,,,,,,,,1538.0,2.0,55240.5,-4319.0,50921.5,,52.040896,-0.366417,0.0,42250.5,11360.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,1320.0,-403.0,0.0,0.0,-2080.0,0.0,0.0,-1836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chippenham Preceptory,Augustinian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540.0,1.0,,,,,52.3005,0.4388,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clattercote Priory,Gilbertine,633.5555555555555,3600.0,,,,,,,,,,,,600.0,-20.0,,,-176.0,,,-180.0,,,,,,,,1538.0,2.0,10155.0,-2420.0,8399.0,,52.139338,-1.332007,0.0,5702.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,-20.0,0.0,0.0,-352.0,0.0,0.0,-360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleeve Abbey,Cistercian,2932.342105263158,1901.0,,,,,160.0,208.0,,,,,,660.0,-308.26190476190476,,-6.0,-300.1333333333333,-1100.0,,-1131.3333333333333,,,,-20.0,,,-873.1666666666666,1537.0,3.0,,,37313.25,1.0,51.157446,-3.3635469999999996,0.0,55714.5,7604.0,0.0,0.0,0.0,0.0,160.0,1248.0,0.0,0.0,0.0,0.0,0.0,1320.0,-6473.5,0.0,-6.0,-4502.0,-6600.0,0.0,-6788.0,0.0,0.0,0.0,-40.0,0.0,0.0,-5239.0
Clifford Priory,Benedictine,6303.0,1573.3333333333333,,,,,,,,,,,,,-54.0,,,-346.6666666666667,-160.0,,-118.6,,,,-128.0,,,,1536.0,4.0,15743.0,-1975.0,13768.0,,52.094214,-3.0913320000000004,0.0,6303.0,9440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.0,0.0,0.0,-1040.0,-160.0,0.0,-593.0,0.0,0.0,0.0,-128.0,0.0,0.0,0.0
Combermere Abbey,Cistercian,3093.4285714285716,2560.0,40.0,,,,126.0,,,,,352.0,,63.0,-208.2,,,-546.6666666666666,-3040.0,,-126.0,,,,,,,-396.0,1539.0,4.0,61998.0,-7883.0,54115.0,1.0,52.993610999999994,-2.613889,0.0,43308.0,17920.0,40.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,352.0,0.0,126.0,-1041.0,0.0,0.0,-3280.0,-3040.0,0.0,-126.0,0.0,0.0,0.0,0.0,0.0,0.0,-396.0
Conishead Priory,Augustinian,1039.0833333333333,2164.5,,,,,,,,,,,,,,,,-181.33333333333334,,,-405.6,,,,,,,-800.0,1536.0,5.0,29785.0,-6503.0,23282.0,,54.173143,-3.067932,0.0,12469.0,17316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1088.0,0.0,0.0,-2028.0,0.0,0.0,0.0,0.0,0.0,0.0,-800.0
Coverham Abbey,Premonstratensian,741.8823529411765,4368.0,,,,,,,,,,,,2880.0,-16.875,,,-270.0,-720.0,,-534.1538461538462,,,,,,,,1536.0,5.0,49856.0,-8837.0,38619.0,,54.2732,-1.8387,0.0,25224.0,21840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,-135.0,0.0,0.0,-2160.0,-720.0,0.0,-6944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorchester Abbey,Augustinian,863.5434782608696,2270.769230769231,,,,,96.0,120.0,,,,,,1260.0,-273.88461538461536,,,-360.0,-260.0,,-456.2857142857143,,,,-152.0,,,,1536.0,2.0,,,45630.25,,51.6437,-1.1644,0.0,19861.5,29520.0,0.0,0.0,0.0,0.0,96.0,120.0,0.0,0.0,0.0,0.0,0.0,2520.0,-3560.5,0.0,0.0,-720.0,-520.0,0.0,-3194.0,0.0,0.0,0.0,-152.0,0.0,0.0,0.0
Dore Abbey,Cistercian,5476.0,1053.3333333333333,,,,,,60.0,,,,,,,-96.66666666666667,,,-392.0,-432.0,,-720.0,,,,,,,,1536.0,4.0,28344.0,-4042.0,24302.0,1.0,51.967946,-2.893758,0.0,21904.0,6320.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,-290.0,0.0,0.0,-1960.0,-432.0,0.0,-2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dunstable Priory,Augustinian,1784.4711538461538,1595.642857142857,,,,,1346.6666666666667,480.0,,,,,,2600.0,-49.57142857142857,,,-540.0,-336.0,,-878.5454545454545,,,,-450.0,,,-36.4,1540.0,2.0,96655.5,-13936.0,82719.5,,51.886003,-0.51771,0.0,46396.25,22339.0,0.0,0.0,0.0,0.0,4040.0,480.0,0.0,0.0,0.0,0.0,0.0,23400.0,-694.0,0.0,0.0,-2160.0,-336.0,0.0,-9664.0,0.0,0.0,0.0,-900.0,0.0,0.0,-182.0
Durham College,Benedictine,,,,,,,4907.166666666667,,,,,,,,-48.0,,,-1440.0,-160.0,,,,,,,,,,1545.0,2.0,29443.0,-1792.0,27652.0,,51.7553,-1.2571800000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-192.0,0.0,0.0,-1440.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durham Priory,Benedictine,1942.4238095238095,5948.823529411765,,,,,424.2105263157895,480.0,,,,,,7122.0,-314.36538461538464,,,-604.4444444444445,,,-1735.0,,,,,,,,1540.0,5.0,387778.5,,,,54.77321,-1.57683,0.0,203954.5,101130.0,0.0,0.0,0.0,0.0,8060.0,480.0,0.0,0.0,0.0,0.0,0.0,64098.0,-8173.5,0.0,0.0,-16320.0,0.0,0.0,-20820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Easebourne Priory,Augustinian,606.2222222222222,976.6666666666666,,,,,,,,,,,,,-21.416666666666668,,,-320.0,,,-1280.0,,,,-168.0,,,-121.33333333333333,1536.0,3.0,11316.0,-4157.0,7159.0,,50.995034,-0.725849,0.0,5456.0,5860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-257.0,0.0,0.0,-640.0,0.0,0.0,-2560.0,0.0,0.0,0.0,-336.0,0.0,0.0,-364.0
Easton Priory,Augustinian,1064.4,1972.5,,,,,,80.0,,,,,,,-73.0,,,-400.0,,,-680.0,,,,-696.0,,,,1538.0,3.0,13372.0,-3148.0,10224.0,,51.342285,-1.7041629999999999,0.0,5322.0,7890.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,-292.0,0.0,0.0,-800.0,0.0,0.0,-1360.0,0.0,0.0,0.0,-696.0,0.0,0.0,0.0
Egglestone Abbey,Premonstratensian,990.3076923076923,930.6666666666666,,,,,,,,,,,,,-119.77272727272727,,,-320.0,-940.0,,-465.3125,,,,,,,,1540.0,5.0,15666.0,-6939.0,6339.0,,54.53125899999999,-1.9051149999999997,0.0,12874.0,2792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1317.5,0.0,0.0,-960.0,-940.0,0.0,-3722.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elsham Priory,Augustinian,664.4545454545455,1300.0,,,,,,24.0,,,,,,116.0,-137.84615384615384,,,-250.0,,,-264.0,,,,-270.0,,,,1536.0,4.0,20134.0,-3326.0,16808.0,,53.599297,-0.436729,0.0,14618.0,5200.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,232.0,-1792.0,0.0,0.0,-1000.0,0.0,0.0,-264.0,0.0,0.0,0.0,-270.0,0.0,0.0,0.0
Elstow Abbey,Benedictine,1854.0535714285713,1968.6,,,,,800.0,480.0,,,,,1200.0,1059.4285714285713,-50.0,,,-680.0,,,-453.6,,,,-236.0,,,,1539.0,2.0,78025.75,-9710.0,68315.75,,52.11495,-0.46935,0.0,25956.75,39372.0,0.0,0.0,0.0,0.0,2400.0,480.0,0.0,0.0,0.0,0.0,2400.0,7416.0,-150.0,0.0,0.0,-4080.0,0.0,0.0,-4536.0,0.0,0.0,0.0,-944.0,0.0,0.0,0.0
Farne Abbey,Benedictine,,,,,618.4,,,,,,,,,,,,,,,,,,,,,,,,1538.0,5.0,,,3092.0,1.0,55.616568,-1.655133,0.0,0.0,0.0,0.0,0.0,3092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Folkestone Priory,Benedictine,1200.0,3719.6666666666665,,,,,2048.0,,720.0,,,,,,-61.5,,,-360.0,,,-1560.0,,-960.0,,-174.0,,,,1535.0,2.0,15127.0,-5097.0,10030.0,,51.078796,1.181644,0.0,1200.0,11159.0,0.0,0.0,0.0,0.0,2048.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,-123.0,0.0,0.0,-720.0,0.0,0.0,-3120.0,0.0,-960.0,0.0,-174.0,0.0,0.0,0.0
Forde Abbey,Cistercian,3031.7207407407395,1493.3333333333333,,,,,960.0,188.15384615384616,,,,,,,-44.0,,,-264.0,,,-216.75,-352.0,,,,,,,1539.0,3.0,,,89646.5,1.0,50.842566,-2.911506,0.0,81856.45999999996,4480.0,0.0,0.0,0.0,0.0,960.0,2446.0,0.0,0.0,0.0,0.0,0.0,0.0,-220.0,0.0,0.0,-2640.0,0.0,0.0,-1734.0,-352.0,0.0,0.0,0.0,0.0,0.0,0.0
