,city,year,population,latitude,longitude
405,Birmingham,1500.0,1.0,52.48,-1.9025
406,Birmingham,1550.0,1.0,52.48,-1.9025
407,Birmingham,1600.0,2.0,52.48,-1.9025
408,Birmingham,1650.0,4.0,52.48,-1.9025
409,Birmingham,1700.0,7.0,52.48,-1.9025
410,Birmingham,1750.0,24.0,52.48,-1.9025
411,Birmingham,1800.0,71.0,52.48,-1.9025
412,Birmingham,1850.0,233.0,52.48,-1.9025
413,Birmingham,1900.0,522.0,52.48,-1.9025
414,Birmingham,1950.0,1123.0,52.48,-1.9025
415,Birmingham,2000.0,977.0,52.48,-1.9025
433,Blackburn,700.0,0.0,53.748,-2.482
434,Blackburn,700.0,0.0,55.872,-3.621
435,Blackburn,800.0,0.0,53.748,-2.482
436,Blackburn,800.0,0.0,55.872,-3.621
437,Blackburn,900.0,0.0,53.748,-2.482
438,Blackburn,900.0,0.0,55.872,-3.621
439,Blackburn,1000.0,0.0,53.748,-2.482
440,Blackburn,1000.0,0.0,55.872,-3.621
441,Blackburn,1100.0,1.0,53.748,-2.482
442,Blackburn,1100.0,1.0,55.872,-3.621
443,Blackburn,1200.0,1.0,53.748,-2.482
444,Blackburn,1200.0,1.0,55.872,-3.621
445,Blackburn,1300.0,1.0,53.748,-2.482
446,Blackburn,1300.0,1.0,55.872,-3.621
447,Blackburn,1400.0,1.0,53.748,-2.482
448,Blackburn,1400.0,1.0,55.872,-3.621
449,Blackburn,1500.0,1.0,53.748,-2.482
450,Blackburn,1500.0,1.0,55.872,-3.621
451,Blackburn,1550.0,2.0,53.748,-2.482
452,Blackburn,1550.0,2.0,55.872,-3.621
453,Blackburn,1600.0,2.0,53.748,-2.482
454,Blackburn,1600.0,2.0,55.872,-3.621
455,Blackburn,1650.0,1.0,53.748,-2.482
456,Blackburn,1650.0,1.0,55.872,-3.621
457,Blackburn,1700.0,1.0,53.748,-2.482
458,Blackburn,1700.0,1.0,55.872,-3.621
459,Blackburn,1750.0,4.0,53.748,-2.482
460,Blackburn,1750.0,4.0,55.872,-3.621
461,Blackburn,1800.0,12.0,53.748,-2.482
462,Blackburn,1800.0,12.0,55.872,-3.621
463,Blackburn,1850.0,47.0,53.748,-2.482
464,Blackburn,1850.0,47.0,55.872,-3.621
465,Blackburn,1900.0,128.0,53.748,-2.482
466,Blackburn,1900.0,128.0,55.872,-3.621
467,Blackburn,1950.0,111.0,53.748,-2.482
468,Blackburn,1950.0,111.0,55.872,-3.621
469,Blackburn,2000.0,105.0,53.748,-2.482
470,Blackburn,2000.0,105.0,55.872,-3.621
471,Blackpool,700.0,0.0,53.8142,-3.0503
472,Blackpool,800.0,0.0,53.8142,-3.0503
473,Blackpool,900.0,0.0,53.8142,-3.0503
474,Blackpool,1000.0,0.0,53.8142,-3.0503
475,Blackpool,1100.0,0.0,53.8142,-3.0503
476,Blackpool,1200.0,0.0,53.8142,-3.0503
477,Blackpool,1300.0,0.0,53.8142,-3.0503
478,Blackpool,1400.0,0.0,53.8142,-3.0503
479,Blackpool,1500.0,0.0,53.8142,-3.0503
480,Blackpool,1550.0,0.0,53.8142,-3.0503
481,Blackpool,1600.0,0.0,53.8142,-3.0503
482,Blackpool,1650.0,0.0,53.8142,-3.0503
483,Blackpool,1700.0,0.0,53.8142,-3.0503
484,Blackpool,1750.0,0.0,53.8142,-3.0503
485,Blackpool,1800.0,1.0,53.8142,-3.0503
486,Blackpool,1850.0,3.0,53.8142,-3.0503
487,Blackpool,1900.0,27.0,53.8142,-3.0503
488,Blackpool,1950.0,147.0,53.8142,-3.0503
489,Blackpool,2000.0,142.0,53.8142,-3.0503
514,Bolton,700.0,0.0,53.578,-2.429
515,Bolton,800.0,0.0,53.578,-2.429
516,Bolton,900.0,0.0,53.578,-2.429
517,Bolton,1000.0,0.0,53.578,-2.429
518,Bolton,1100.0,1.0,53.578,-2.429
519,Bolton,1200.0,1.0,53.578,-2.429
