almsExpMean,almsExpSum,almsIncMean,almsIncSum,annuityExpMean,annuityExpSum,annuityIncMean,annuityIncSum,county,courtExpMean,courtExpSum,courtIncMean,courtIncSum,depHouse,educationExpMean,educationExpSum,educationIncMean,educationIncSum,feeExpMean,feeExpSum,feeIncMean,feeIncSum,founded,incomplete,infraExpMean,infraExpSum,infraIncMean,infraIncSum,ladyHouse,landExpMean,landExpSum,landIncMean,landIncSum,latitude,longitude,millExpMean,millExpSum,millIncMean,millIncSum,name,netInc,order,originalFoundation,pt,region,rurHouse,selected,subHouse,subPop,survival,synProxExpMean,synProxExpSum,synProxIncMean,synProxIncSum,titheExpMean,titheExpSum,titheIncMean,titheIncSum,totalExp,totalInc,transferExpMean,transferExpSum,transferIncMean,transferIncSum,unknownExpMean,unknownExpSum,unknownIncMean,unknownIncSum,urbHouse,urbPop,year,diss1536
,0.0,,0.0,,0.0,,0.0,HAMPSHIRE,,0.0,,0.0,,,0.0,,0.0,-1600.0,-1600.0,,0.0,1207.0,0.0,,0.0,,0.0,0.0,-1490.0,-1490.0,,0.0,50.985876,-1.422873,,0.0,,0.0,Baddesley Preceptory,28519.0,Augustinian,,POINT (440605.846198488 120878.4208371448),3.0,1.0,1.0,0,0.0,4.0,,0.0,,0.0,,0.0,,0.0,-3090.0,31609.0,,0.0,,0.0,,0.0,31609.0,31609.0,0,0.0,1540.0,0
,0.0,,0.0,,0.0,,0.0,ESSEX,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,970.0,1.0,,0.0,,0.0,1.0,,0.0,,0.0,51.535706,0.075159,,0.0,,0.0,Barking Abbey,207029.5,Benedictine,666.0,POINT (544021.8048750254 183907.4056124881),2.0,,1.0,1,2.0,3.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,0,0.0,1539.0,0
-1031.3333333333333,-6188.0,,0.0,,0.0,,0.0,LINCOLNSHIRE,,0.0,,0.0,,,0.0,,0.0,-241.42857142857142,-3380.0,,0.0,1154.0,0.0,,0.0,,0.0,0.0,-69.5,-973.0,2898.818181818182,63774.0,53.247899999999994,-0.3685,,0.0,,0.0,Barlings Abbey,58149.5,Premonstratensian,,POINT (508958.8068559337 373559.2392032248),4.0,1.0,1.0,0,0.0,1.0,-308.5,-308.5,,0.0,,0.0,1584.0,7920.0,-15726.5,73877.0,-360.5833333333333,-2163.5,,0.0,-492.375,-1969.5,1092.0,2184.0,0,0.0,1537.0,0
,0.0,,0.0,,0.0,,0.0,DEVON,,0.0,840.5,1681.0,,,0.0,,0.0,-304.0,-1520.0,,0.0,1107.0,0.0,,0.0,,0.0,0.0,-24.0,-120.0,4648.8,23244.0,51.088473,-4.062436,,0.0,2400.0,2400.0,Barnstaple,29599.0,Benedictine,,POINT (255655.5326549847 134152.8395246913),3.0,1.0,1.0,0,0.0,0.0,,0.0,,0.0,,0.0,1080.0,1080.0,,,,0.0,710.0,2840.0,-6.0,-6.0,,0.0,0,0.0,1536.0,1
,0.0,,0.0,,0.0,,0.0,CAMBRIDGESHIRE,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,1092.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,52.209027,0.13852,,0.0,,0.0,Barnwell Priory,61573.25,Augustinian,,POINT (546216.7041479701 258909.4538866007),1.0,1.0,1.0,0,0.0,2.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,0,0.0,1538.0,0
,0.0,,0.0,,0.0,,0.0,SOMERSET,,0.0,,0.0,,,0.0,,0.0,-150.0,-300.0,,0.0,1212.0,0.0,,0.0,,0.0,1.0,-39.0,-156.0,1015.2,5076.0,51.4073,-2.6748,,0.0,,0.0,Barrow Gurney Nunnery,5691.75,Benedictine,,POINT (353161.0077372133 167802.5785195673),3.0,1.0,1.0,0,0.0,0.0,-90.75,-90.75,,0.0,,0.0,1600.0,1600.0,-1348.75,7040.5,-960.0,-960.0,,0.0,,0.0,499.5,499.5,0,0.0,1536.0,1
,0.0,,0.0,,0.0,,0.0,SUFFOLK,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,1172.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,52.148965,0.989523,,0.0,,0.0,Battisford Preceptory,12674.0,Augustinian,,POINT (604628.4465740309 254287.9050457244),1.0,1.0,1.0,0,0.0,4.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,0,0.0,1540.0,0
-1234.0,-1234.0,,0.0,,0.0,,0.0,SUSSEX,,0.0,,0.0,,,0.0,,0.0,-713.625,-11418.0,,0.0,1076.0,0.0,,0.0,,0.0,0.0,-272.0,-1632.0,2920.2298387096776,181054.25,50.914503,0.48773,-6.0,-6.0,853.3333333333334,2560.0,Battle Abbey,211375.75,Benedictine,,POINT (574971.8783452023 115729.5093392105),3.0,1.0,1.0,0,0.0,2.0,-66.83333333333333,-200.5,,0.0,,0.0,2494.4,24944.0,-25514.5,236890.25,-1002.1818181818181,-11024.0,511.2,5112.0,,0.0,1573.3333333333333,4720.0,0,0.0,1538.0,0
,0.0,,0.0,,0.0,,0.0,NOTTINGHAMSHIRE,,0.0,,0.0,,,0.0,,0.0,-360.0,-1440.0,,0.0,1343.0,0.0,,0.0,,0.0,0.0,-280.0,-280.0,1740.3333333333333,31326.0,53.036477999999995,-1.267416,,0.0,,0.0,Beauvale Charterhouse,47112.0,Carthusian,,POINT (449220.7656615809 349048.784296516),4.0,1.0,1.0,0,0.0,3.0,-83.0,-332.0,,0.0,,0.0,3612.5,14450.0,,54576.0,-531.4285714285714,-3720.0,160.0,160.0,-173.33333333333334,-520.0,4320.0,8640.0,0,0.0,1539.0,0
-640.0,-640.0,,0.0,,0.0,,0.0,NORFOLK,,0.0,472.75,1891.0,,,0.0,,0.0,-205.0,-820.0,,0.0,1216.0,0.0,,0.0,,0.0,0.0,-23.428571428571427,-164.0,1274.734375,10197.875,52.938772,1.224176,,0.0,,0.0,Beeston Priory,10348.625,Augustinian,,POINT (616752.9665748074 342793.4445766048),1.0,1.0,1.0,0,0.0,3.0,,0.0,,0.0,,0.0,,0.0,-1728.0,12076.625,-80.0,-80.0,,0.0,-12.0,-24.0,,0.0,0,0.0,1539.0,0
