,Augustinian,Benedictine,Bridgettine,Carmelites,Carthusian,Cistercian,Crutched Friars,Dominican,EE,EM,Franciscan,GL,Gilbertine,Grandmontines,Midlands,NAnetInc,NE,NW,North,Premonstratensian,RomanRoadShare,SE,SW,South,WM,YH,areaKm2,bhbo,bhboInc,bhso,bhsoInc,bigHouse,bigOrder,coalShare,county,countyVal1291,countyVal1334,countyVal1514,countyVal1515,countyVal1535,forestShare,friary,goodAgShare,grassShare,houses,ladyHouse,ladyInc,literacy1851,littleLady,oceanDum,pop1086,pop1290,pop1377,pop1600,rebelDum,region,riverShare,royalForestDum,shbo,shboInc,shso,shsoInc,smallHouse,smallOrder,monasticFrac,ladyFrac,churchFrac,shsoFrac,shboFrac,bhsoFrac,bhboFrac,shFrac,bhFrac,soFrac,boFrac,monasticPopFrac,ladyPopFrac,shsoPopFrac,shboPopFrac,bhsoPopFrac,bhboPopFrac,shPopFrac,bhPopFrac,soPopFrac,boPopFrac,housesPerCapita,ladyHousePerCapita,littleLadyPerCapita,friaryPerCapita,BenedictinePerCapita,CistercianPerCapita,AugustinianPerCapita,DominicanPerCapita,FranciscanPerCapita,PremonstratensianPerCapita,CarmelitesPerCapita,CarthusianPerCapita,GilbertinePerCapita,CrutchedFriarsPerCapita,BridgettinePerCapita,GrandmontinesPerCapita,perCapitaInc,povertyIndex,popDensity1600,popDensity1377,BenedictineShare,CistercianShare,AugustinianShare,DominicanShare,FranciscanShare,PremonstratensianShare,CarmelitesShare,CarthusianShare,GilbertineShare,CrutchedFriarsShare,BridgettineShare,GrandmontinesShare,littleLadyShare,ladyShare,friaryShare
0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2368.0,0.0,0.0,0.0,0.0,0.0271628,0.0,0.0,1.0,0.0,0.0,1228.3508,6.0,1933.0,1.0,212.0,7.0,9.0,0.0,BEDFORDSHIRE,2057.0,10017.0,28080.0,24000.0,5097.0,0.031292915,2.0,0.37293914,0.08981435,12.0,2.0,324.0,0.51999998,1.0,0.0,21695.0,64194.0,36771.0,43059.0,0.0,EE,0.12468155,1.0,3.0,220.0,2.0,3.0,5.0,3.0,0.09866666666666667,0.0135,0.212375,0.000125,0.009166666666666667,0.008833333333333334,0.08054166666666666,0.009291666666666667,0.089375,0.008958333333333334,0.08970833333333333,0.05499431013260875,0.007524559325576535,6.967184560719014e-05,0.00510926867786061,0.004923477089574769,0.04489189251956618,0.0051789405234678,0.049815369609140944,0.00499314893518196,0.050001161197426786,0.00027868738242876054,4.644789707146009e-05,2.3223948535730044e-05,4.644789707146009e-05,2.3223948535730044e-05,4.644789707146009e-05,0.00013934369121438027,2.3223948535730044e-05,2.3223948535730044e-05,0.0,0.0,0.0,2.3223948535730044e-05,0.0,0.0,0.0,0.557374764857521,0.09475371002577858,35.05431835921791,29.935259536607948,0.08333333333333333,0.16666666666666666,0.5,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.16666666666666666
1,2.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4242.0,0.0,0.0,0.0,0.0,0.064371668,1.0,0.0,1.0,0.0,0.0,1950.8256,2.0,3814.0,0.0,0.0,2.0,8.0,0.0,BERKSHIRE,3667.0,14688.0,44000.0,41140.0,8576.0,0.26255119,2.0,0.22585602,0.26054019,10.0,1.0,25.0,0.63,1.0,0.0,38232.0,61498.0,41081.0,56889.0,0.0,SE,0.11421272,1.0,6.0,428.0,2.0,0.0,8.0,2.0,0.1031113271754983,0.0006076810889645114,0.208458920758386,0.0,0.010403500243072435,0.0,0.09270782693242587,0.010403500243072435,0.09270782693242587,0.0,0.1031113271754983,0.07456626061277224,0.00043945226669479164,0.0,0.0075234228058148325,0.0,0.06704283780695741,0.0075234228058148325,0.06704283780695741,0.0,0.07456626061277224,0.00017578090667791664,1.7578090667791665e-05,1.7578090667791665e-05,3.515618133558333e-05,8.789045333895832e-05,1.7578090667791665e-05,3.515618133558333e-05,0.0,1.7578090667791665e-05,0.0,0.0,0.0,0.0,1.7578090667791665e-05,0.0,0.0,0.7231626500729491,0.05027333930988416,29.161499623544003,21.058263742284293,0.5,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.2
2,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1453.0,0.0,0.0,0.0,0.0,0.033661202,1.0,0.0,1.0,0.0,0.0,1929.0126,3.0,1114.0,0.0,0.0,3.0,11.0,0.0,BUCKINGHAMSHIRE,3033.0,10079.0,33040.0,33480.0,6201.0,0.26986659,1.0,0.078294747,0.3872796,12.0,4.0,118.0,0.56999999,4.0,0.0,30162.0,88631.0,44604.0,56059.0,0.0,SE,0.10933189,1.0,8.0,336.0,1.0,3.0,9.0,1.0,0.04339904420549582,0.0035244922341696534,0.18521505376344086,8.960573476702509e-05,0.01003584229390681,0.0,0.03327359617682198,0.010125448028673835,0.03327359617682198,8.960573476702509e-05,0.043309438470728795,0.025919120926167074,0.0021049251681264382,5.351504664728233e-05,0.00599368522449562,0.0,0.01987192065502417,0.006047200271142903,0.01987192065502417,5.351504664728233e-05,0.02586560587951979,0.0002140601865891293,7.135339552970977e-05,7.135339552970977e-05,1.783834888242744e-05,7.135339552970977e-05,1.783834888242744e-05,0.00010703009329456466,0.0,1.783834888242744e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5972279205836708,-0.007848873508268074,29.060981768600165,23.12271055150184,0.3333333333333333,0.08333333333333333,0.5,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.08333333333333333
3,5.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,2557.0,0.0,0.0,0.0,0.0,0.069611832,0.0,0.0,1.0,0.0,0.0,2255.114,3.0,1751.0,0.0,0.0,3.0,11.0,0.0,CAMBRIDGESHIRE,6032.0,14802.0,41520.0,36120.0,7822.0,0.020132136,4.0,0.73093337,0.061822128,18.0,4.0,380.0,0.58000004,4.0,0.0,31123.0,137373.0,52885.0,72492.0,0.0,EE,0.11171521,1.0,8.0,570.0,7.0,236.0,15.0,7.0,0.07079180509413067,0.010520487264673311,0.2165559246954596,0.006533776301218161,0.015780730897009966,0.0,0.04847729789590255,0.02231450719822813,0.04847729789590255,0.006533776301218161,0.06425802879291251,0.03527285769464217,0.005241957733267119,0.003255531644871158,0.007862936599900679,0.0,0.02415438944987033,0.011118468244771838,0.02415438944987033,0.003255531644871158,0.03201732604977101,0.00024830326104949513,5.517850245544336e-05,5.517850245544336e-05,5.517850245544336e-05,8.276775368316503e-05,0.0,6.89731280693042e-05,1.379462561386084e-05,2.758925122772168e-05,0.0,1.379462561386084e-05,0.0,4.138387684158252e-05,0.0,0.0,0.0,0.4982618771726535,0.07449097831484854,32.14560328214006,23.45114260299036,0.3333333333333333,0.0,0.2777777777777778,0.05555555555555555,0.1111111111111111,0.0,0.05555555555555555,0.0,0.16666666666666666,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222
4,1.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2082.0,0.0,1.0,1.0,0.0,0.068711899,0.0,0.0,0.0,0.0,0.0,2492.7273,3.0,1746.0,0.0,0.0,3.0,6.0,0.071566939,CHESHIRE,,,,,,0.34909695,3.0,0.10439488,0.63395464,9.0,1.0,66.0,0.66999996,1.0,1.0,9589.0,36035.0,26757.0,73896.0,0.0,NW,0.1326869,1.0,3.0,336.0,3.0,0.0,6.0,3.0,,,,,,,,,,,,0.02817473205586229,0.0008931471256901592,0.0,0.004546930821695355,0.0,0.023627801234166936,0.004546930821695355,0.023627801234166936,0.0,0.02817473205586229,0.00012179278986683988,1.3532532207426653e-05,1.3532532207426653e-05,4.059759662227996e-05,4.059759662227996e-05,2.7065064414853306e-05,1.3532532207426653e-05,1.3532532207426653e-05,1.3532532207426653e-05,0.0,1.3532532207426653e-05,0.0,0.0,0.0,0.0,0.0,,,29.64463862533218,10.734026140765579,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333
5,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1062.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3618.5513,3.0,851.0,0.0,0.0,3.0,7.0,0.0,CORNWALL,1527.0,6683.0,43320.0,44200.0,5262.0,0.0,2.0,0.081923418,0.89006424,9.0,0.0,0.0,0.63,0.0,1.0,29532.0,34914.0,61964.0,102892.0,0.0,SW,0.10970613,0.0,4.0,211.0,2.0,0.0,6.0,2.0,0.02402714932126697,0.0,0.1190497737556561,0.0,0.004773755656108597,0.0,0.01925339366515837,0.004773755656108597,0.01925339366515837,0.0,0.02402714932126697,0.010321502157602146,0.0,0.0,0.0020506939315009915,0.0,0.008270808226101154,0.0020506939315009915,0.008270808226101154,0.0,0.010321502157602146,8.74703572678148e-05,0.0,0.0,1.9437857170625512e-05,1.9437857170625512e-05,0.0,4.8594642926563776e-05,9.718928585312756e-06,9.718928585312756e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42957664347082375,-0.008552657155075225,28.43458375179039,17.123979975080083,0.2222222222222222,0.0,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222
6,3.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1300.0,0.0,1.0,1.0,0.0,0.057884306,0.0,0.0,0.0,0.0,0.0,4032.9814,2.0,895.0,0.0,0.0,2.0,9.0,0.084402442,CUMBERLAND,,,,,,0.22685388,2.0,0.021053068,0.86554873,11.0,2.0,18.0,0.84000003,2.0,1.0,9265.0,60567.0,22633.0,75687.0,1.0,NW,0.12581466,1.0,7.0,405.0,2.0,0.0,9.0,2.0,,,,,,,,,,,,0.017176001162683155,0.00023782155456022832,0.0,0.005350984977605137,0.0,0.011825016185078018,0.005350984977605137,0.011825016185078018,0.0,0.017176001162683155,0.00014533539445347286,2.64246171733587e-05,2.64246171733587e-05,2.64246171733587e-05,5.28492343467174e-05,2.64246171733587e-05,3.963692576003805e-05,1.321230858667935e-05,1.321230858667935e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,18.767009438724415,5.611977283108719,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182
7,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,815.0,0.0,0.0,0.0,2.0,0.072735153,0.0,0.0,0.0,0.0,0.0,2621.2898,1.0,258.0,0.0,0.0,1.0,9.0,0.29947346,DERBYSHIRE,2294.0,6753.0,14880.0,12320.0,4361.0,0.16036266,1.0,0.067025997,0.64155608,12.0,1.0,18.0,0.74000001,1.0,0.0,16249.0,84852.0,43912.0,69791.0,0.0,EM,0.130334,1.0,8.0,287.0,3.0,270.0,11.0,3.0,0.06615259740259741,0.001461038961038961,0.35397727272727275,0.021915584415584416,0.023295454545454546,0.0,0.02094155844155844,0.04521103896103896,0.02094155844155844,0.021915584415584416,0.044237012987012984,0.011677723488701981,0.00025791291140691495,0.003868693671103724,0.004112278087432477,0.0,0.0036967517301657806,0.0079809717585362,0.0036967517301657806,0.003868693671103724,0.007809029817598258,0.00017194194093794328,1.432849507816194e-05,1.432849507816194e-05,1.432849507816194e-05,2.865699015632388e-05,0.0,0.00010029946554713358,1.432849507816194e-05,0.0,2.865699015632388e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.1765270593629551,0.03668094740009457,26.62467919418906,16.752058471367796,0.16666666666666666,0.0,0.5833333333333334,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
8,6.0,8.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5225.0,0.0,0.0,0.0,1.0,0.012280504,0.0,1.0,1.0,0.0,0.0,6797.5796,8.0,3722.0,1.0,396.0,9.0,19.0,0.0,DEVON,3823.0,13100.0,147120.0,112160.0,16813.0,0.007142465,4.0,0.068954021,0.770778,24.0,3.0,424.0,0.74000001,3.0,1.0,97221.0,147860.0,86239.0,258587.0,0.0,SW,0.17348373,1.0,11.0,1107.0,4.0,0.0,15.0,5.0,0.04658523537803139,0.0037803138373751783,0.14990192582025677,0.0,0.009869828815977175,0.0035306704707560627,0.03318473609129814,0.009869828815977175,0.03671540656205421,0.0035306704707560627,0.04305456490727532,0.020205965497105422,0.001639680262348842,0.0,0.004280957666085302,0.0015313994903069373,0.014393608340713184,0.004280957666085302,0.015925007831020122,0.0015313994903069373,0.018674566006798485,9.281209032163257e-05,1.1601511290204071e-05,1.1601511290204071e-05,1.5468681720272093e-05,3.0937363440544186e-05,1.9335852150340116e-05,2.3203022580408143e-05,3.867170430068023e-06,7.734340860136046e-06,3.867170430068023e-06,3.867170430068023e-06,0.0,0.0,0.0,0.0,0.0,0.4337418354364295,0.1351962782351781,38.04104037266441,12.686721608967993,0.3333333333333333,0.20833333333333334,0.25,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.16666666666666666
9,0.0,8.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2710.0,0.0,0.0,0.0,0.0,0.061132971,0.0,1.0,1.0,0.0,0.0,2673.0146,5.0,2439.0,0.0,0.0,5.0,10.0,0.0,DORSET,3755.0,12241.0,47440.0,45560.0,8853.0,0.22189485,2.0,0.036889248,0.60074532,13.0,2.0,214.0,0.63999999,1.0,1.0,46375.0,98113.0,61904.0,74961.0,0.0,SW,0.10856296,1.0,5.0,271.0,3.0,0.0,8.0,3.0,0.05948200175592625,0.004697102721685689,0.194315188762072,0.0,0.005948200175592625,0.0,0.05353380158033363,0.005948200175592625,0.05353380158033363,0.0,0.05948200175592625,0.03615213244220328,0.00285481783860941,0.0,0.003615213244220328,0.0,0.032536919197982954,0.003615213244220328,0.032536919197982954,0.0,0.03615213244220328,0.00017342351356038473,2.6680540547751497e-05,1.3340270273875748e-05,2.6680540547751497e-05,0.00010672216219100599,2.6680540547751497e-05,0.0,1.3340270273875748e-05,1.3340270273875748e-05,0.0,0.0,1.3340270273875748e-05,0.0,0.0,0.0,0.0,0.6077827136777791,0.02507970811488641,28.043617868753877,23.158870886825685,0.6153846153846154,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.15384615384615385
10,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1631.0,1.0,0.0,1.0,0.0,0.047487412,0.0,0.0,0.0,0.0,0.0,2562.345,1.0,1366.0,0.0,0.0,1.0,7.0,0.34098887,DURHAM,,,,,,0.0,1.0,0.027917361,0.34606841,8.0,1.0,20.0,0.73000002,1.0,1.0,7732.0,75490.0,24587.0,76483.0,1.0,NE,0.12652664,0.0,6.0,265.0,1.0,0.0,7.0,1.0,,,,,,,,,,,,0.021325000326870024,0.0002614960187231149,0.0,0.0034648222480812728,0.0,0.01786017807878875,0.0034648222480812728,0.01786017807878875,0.0,0.021325000326870024,0.00010459840748924598,1.3074800936155747e-05,1.3074800936155747e-05,1.3074800936155747e-05,9.152360655309022e-05,0.0,0.0,0.0,1.3074800936155747e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,29.84882988044155,9.595507240437959,0.875,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125
11,8.0,7.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5425.0,0.0,0.0,0.0,1.0,0.078436069,0.0,0.0,1.0,0.0,0.0,3973.5378,7.0,4096.0,0.0,0.0,7.0,18.0,0.0,ESSEX,6052.0,18275.0,88800.0,100720.0,15046.0,0.6249702,5.0,0.41466638,0.11559691,24.0,2.0,891.0,0.56,1.0,1.0,87005.0,167660.0,92053.0,154882.0,0.0,EE,0.10833513,1.0,11.0,1172.0,6.0,157.0,17.0,6.0,0.05386219221604448,0.008846306592533756,0.1493844320889595,0.0015587768069896743,0.011636219221604448,0.0,0.040667196187450357,0.013194996028594122,0.040667196187450357,0.0015587768069896743,0.0523034154090548,0.03502666546144807,0.00575276662233184,0.001013674926718405,0.007567051045311915,0.0,0.02644593948941775,0.00858072597203032,0.02644593948941775,0.001013674926718405,0.03401299053472966,0.00015495667669580712,1.2913056391317261e-05,6.456528195658631e-06,3.2282640978293155e-05,4.519569736961041e-05,1.936958458697589e-05,5.1652225565269045e-05,6.456528195658631e-06,6.456528195658631e-06,6.456528195658631e-06,6.456528195658631e-06,0.0,0.0,1.2913056391317261e-05,0.0,0.0,0.6503015198667372,-0.07696181609225088,38.97836331140476,23.166509199937646,0.2916666666666667,0.125,0.3333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.08333333333333333,0.20833333333333334
12,7.0,7.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7170.0,0.0,0.0,0.0,0.0,0.087769195,0.0,1.0,1.0,0.0,0.0,3226.104,7.0,6513.0,0.0,0.0,7.0,16.0,0.10290873,GLOUCESTERSHIRE,4527.0,22115.0,86440.0,73640.0,11177.0,0.13759981,6.0,0.065555841,0.34629521,22.0,1.0,21.0,0.71000004,1.0,1.0,52565.0,152058.0,81923.0,101256.0,0.0,SW,0.088264301,1.0,9.0,657.0,6.0,0.0,15.0,6.0,0.09736556219445953,0.00028517110266159697,0.15177892449755567,0.0,0.008921781640412818,0.0,0.08844378055404671,0.008921781640412818,0.08844378055404671,0.0,0.09736556219445953,0.07081061863000711,0.00020739511732638066,0.0,0.006488504384925338,0.0,0.06432211424508177,0.006488504384925338,0.06432211424508177,0.0,0.07081061863000711,0.00021727107529430353,9.875957967922888e-06,9.875957967922888e-06,5.925574780753733e-05,6.913170577546022e-05,1.9751915935845776e-05,6.913170577546022e-05,1.9751915935845776e-05,1.9751915935845776e-05,0.0,1.9751915935845776e-05,0.0,0.0,0.0,0.0,0.0,0.7272655447578416,0.12641226198941297,31.386464912476477,25.393787677024672,0.3181818181818182,0.09090909090909091,0.3181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.2727272727272727
13,8.0,6.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5180.0,0.0,0.0,0.0,1.0,0.079468116,1.0,0.0,1.0,0.0,0.0,4151.8374,7.0,3999.0,1.0,249.0,8.0,18.0,5.96e-08,HAMPSHIRE,8762.0,18927.0,73080.0,69920.0,12859.0,0.80034006,4.0,0.05357321,0.36562499,23.0,5.0,954.0,0.73000002,3.0,1.0,65702.0,94062.0,70736.0,104197.0,0.0,SE,0.088082947,1.0,11.0,932.0,4.0,0.0,15.0,5.0,0.07408466819221968,0.013644164759725401,0.18391018306636156,0.0,0.013329519450800915,0.003561212814645309,0.05719393592677346,0.013329519450800915,0.06075514874141876,0.003561212814645309,0.07052345537757437,0.049713523421979516,0.009155733850302793,0.0,0.008944595333838786,0.002389704118160792,0.03837922396997994,0.008944595333838786,0.040768928088140734,0.002389704118160792,0.04732381930381873,0.00022073572175782411,4.79860264690922e-05,2.879161588145532e-05,3.838882117527376e-05,5.758323176291064e-05,3.838882117527376e-05,7.677764235054752e-05,9.59720529381844e-06,1.919441058763688e-05,9.59720529381844e-06,9.59720529381844e-06,0.0,0.0,0.0,0.0,0.0,0.6710365941437854,0.03032716872846627,25.096599399581493,17.037276074443568,0.2608695652173913,0.17391304347826086,0.34782608695652173,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.21739130434782608,0.17391304347826086
