name,diocese,town,region,order,typeHouse,members,year,latitude,longitude,mother hou,NAnetInc,lnInc,survival,bigOrder,smallOrder,bigHouse,smallHouse,rebel,distLond,ladyHouse,ladyInc,county,founded,foundedSource
Axholme Charterhouse,,Owston Ferry,6,Carthusian,,Monks,1538,53.5075,-0.7861,,237,5.468060141,2,0,1,1,0,1,2.106236039,0,0,LINCOLNSHIRE,,
Aylesbury Friary,,Aylesbury,9,Franciscan,"Friars Minor, Conventual",Friars,1538,51.815217,-0.814867,Oxford,3,1.098612289,2,0,1,0,1,0,0.760685,0,0,BUCKINGHAMSHIRE,,
Aylesford Priory,,Aylesford,9,Carmelites,,,1538,51.302778,0.471389,,,,2,0,1,0,1,0,0.624850573,0,,KENT,,
Babwell Friary,,Bury St Edmunds,7,Franciscan,"Friars Minor, Conventual",Friars,1538,52.261912,0.710431,Cambridge,,,2,0,1,0,1,0,1.118854447,0,,SUFFOLK,,
Baddesley Preceptory,,North Baddesley,9,Augustinian,Knights Hospitaller,,1540,50.985876,-1.422873,,118,4.770684624,4,1,0,0,1,0,1.406107588,0,0,HAMPSHIRE,,
Balsall Preceptory,,Balsall,5,Augustinian,Knights Hospitaller,,1540,52.381549,-1.697353,,184,5.214935758,4,1,0,0,1,0,1.803784271,0,0,WARWICKSHIRE,,
Bamburgh,,Bamburgh,2,Dominican,,Friars,1539,55.606945,-1.72447,York,,,3,0,1,0,1,1,4.400611652,0,,NORTHUMBERLAND,,
Bamburgh Priory,,,2,Augustinian,,Canons,1537,55.606773,-1.724607,Nostell,116,4.753590191,1,1,0,0,1,1,4.400501534,0,0,NORTHUMBERLAND,1122,"The Foundation of Nostell Priory, 1109-1153 p25"
Bardney Abbey,,Bardney,6,Benedictine,,Monks,1538,53.220787,-0.333501,,366,5.902633333,2,1,0,1,0,1,1.724293986,0,0,LINCOLNSHIRE,,
Barham Friary,,Linton,7,Crutched Friars,,Friars,1538,52.090476,0.28778,,,,2,0,1,0,1,0,0.708301462,0,,ESSEX,,
Barking Abbey,,Barking,10,Benedictine,,Nuns,1539,51.535706,0.075159,,862,6.759255271,3,1,0,1,0,0,0.194961123,1,862,ESSEX,,
Barlings Abbey,,Barlings,6,Premonstratensian,,Canons,1537,53.2479,-0.3685,,242,5.488937726,1,0,1,1,0,1,1.755846397,0,0,LINCOLNSHIRE,,
Barlynch Priory,,Brompton Regis,8,Augustinian,,Canons,1537,51.0457,-3.5348,,98,4.584967479,1,1,0,0,1,0,3.448102867,0,0,SOMERSET,,
Barnstaple,,Barnstaple,8,Benedictine,Cluniac,,1536,51.088473,-4.062436,,123,4.812184355,0,1,0,0,1,0,3.966796124,0,0,DEVON,,
